"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2023","BYD","EM2E","DOLPHIN","Dynamic","0","Electric","N/A","1","Auto","3","5","Hatch","2","Pure Electric","0","","","0","","","126","410","Pure EV","","","Yes","0","102","0","529"
"2023","Lexus","","UX 300e","","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","128","560","Pure EV","","","Yes","0","104","0","538"
"2024","Toyota","","bZ4X","","0","Electric","N/A","1","Auto","4","5","Wagon","2","Pure Electric","0","","","0","","","128","535","Pure EV","","","Yes","0","104","0","538"
"2023","MG","","MG4","64kWh EV RWD ","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","130","535","Pure EV","","","Yes","0","105","0","546"
"2016","BMW","","I01","i3 BEV 94Ah","0","Electric","N/A","1","Other","4","4","Sedan","2","Pure Electric","0","","","0","","","131","300","Pure EV","48","","Yes","0","106","0","550"
"2023","Tesla","","Model 3","RWD H6LRB","0","Electric","N/A","1","N/A","4","5","Sedan","2","Pure Electric","0","","","0","","","132","513","Pure EV","","","Yes","0","107","0","554"
"2020","Tesla","","Model 3","StandardRange (E6RB)","0","Electric","N/A","1","N/A","4","5","Sedan","2","Pure Electric","0","","","0","","","132","508","Pure EV","","","Yes","0","107","0","554"
"2020","Tesla","","Model 3","StandardRange (E1RB)","0","Electric","N/A","1","N/A","4","5","Sedan","2","Pure Electric","0","","","0","","","132","490","Pure EV","","","Yes","0","107","0","554"
"2022","Tesla","","Model 3","StandardRange (E6LRB)","0","Electric","N/A","1","N/A","4","5","Sedan","2","Pure Electric","0","","","0","","","134","559","Pure EV","","","Yes","0","109","0","563"
"2022","Tesla","","Model 3","RWD (E6LRB)","0","Electric","N/A","1","N/A","4","5","Sedan","2","Pure Electric","0","","","0","","","134","559","Pure EV","","","Yes","0","109","0","563"
"2021","Tesla","","Model 3","StandardRange (E6LRB)","0","Electric","N/A","1","N/A","4","5","Sedan","2","Pure Electric","0","","","0","","","134","556","Pure EV","","","Yes","0","109","0","563"
"2021","Tesla","","Model 3","LongRange (E5LDB)","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","135","694","Pure EV","","","Yes","0","109","0","567"
"2022","Tesla","","Model 3","LongRange (E5LDB)","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","136","681","Pure EV","","","Yes","0","110","0","571"
"2018","BMW","","I01","i3 BEV 94 Ah","0","Electric","N/A","1","N/A","4","4","Sedan","2","Pure Electric","0","","","0","","","136","290","Pure EV","","","Yes","0","110","0","571"
"2019","BMW","I01","i3","i3 BEV 120Ah","0","Electric","N/A","1","Other","4","4","Sedan","2","Pure Electric","0","","","0","","","137","335","Pure EV","","","Yes","0","111","0","575"
"2020","Tesla","","Model 3","LongRange (E3DB)","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","138","657","Pure EV","","","Yes","0","112","0","580"
"2020","Tesla","","Model 3","LongRange (E5DB)","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","138","657","Pure EV","","","Yes","0","112","0","580"
"2023","BYD","EK","SEAL","Dynamic","0","Electric","N/A","1","Auto","4","5","Sedan","2","Pure Electric","0","","","0","","","138","510","Pure EV","","","Yes","0","112","0","580"
"2023","MG","","MG4","64kWh EV RWD LUX ","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","138","505","Pure EV","","","Yes","0","112","0","580"
"2023","Tesla","","Model 3","Long Range H5LDB","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","140","629","Pure EV","","","Yes","0","113","0","588"
"2023","MG","","MG4","77kWh EV RWD","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","140","590","Pure EV","","","Yes","0","113","0","588"
"2024","Mercedes-Benz","H243","EQA Class","EQA 250+","0","Electric","N/A","1","Auto","4","5","Wagon","2","Pure Electric","0","","","0","","","141","578","Pure EV","","","Yes","0","114","0","592"
"2024","Subaru","MY24","Solterra","AWD","0","Electric","N/A","0","N/A","4","5","Wagon","4","Pure Electric","0","","","0","","","141","485","Pure EV","","","Yes","0","114","0","592"
"2024","Subaru","MY24","Solterra","AWD Touring","0","Electric","N/A","0","N/A","4","5","Wagon","4","Pure Electric","0","","","0","","","141","485","Pure EV","","","Yes","0","114","0","592"
"2024","Toyota","","bZ4X","","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","141","485","Pure EV","","","Yes","0","114","0","592"
"2024","MINI","J05","Aceman","E","0","Electric","N/A","1","Auto","4","5","Wagon","2","Pure Electric","0","","","0","","","141","300","Pure EV","","5000","Yes","0","114","0","592"
"2023","BYD","EM2E","DOLPHIN","PERFORMANCE","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","142","490","Pure EV","","","Yes","0","115","0","596"
"2022","Hyundai","","IONIQ6","LRG Range 18 inch","0","Electric","Normal","1","Auto","4","5","Sedan","2","Pure Electric","0","","","0","","","143","614","Pure EV","","","Yes","0","116","0","601"
"2018","BMW","","I01","i3s BEV 94 Ah","0","Electric","N/A","1","N/A","4","4","Sedan","2","Pure Electric","0","","","0","","","143","280","Pure EV","","","Yes","0","116","0","601"
"2022","Tesla","","Model 3","RWD (E6LRB)","0","Electric","N/A","1","N/A","4","5","Sedan","2","Pure Electric","0","","","0","","","144","491","Pure EV","","","Yes","0","117","0","605"
"2024","MINI","J05","Aceman","SE","0","Electric","N/A","1","Auto","4","5","Wagon","2","Pure Electric","0","","","0","","","144","380","Pure EV","","7000","Yes","0","117","0","605"
"2023","Fiat","","500e","FWD 87 kW 42 kWh","0","Electric","N/A","1","Auto","2","4","Hatch","2","Pure Electric","0","","","0","","","144","311","Pure EV","","","Yes","0","117","0","605"
"2019","BMW","I01","i3","i3s BEV 120Ah","0","Electric","N/A","1","Other","4","4","Sedan","2","Pure Electric","0","","","0","","","145","329","Pure EV","","","Yes","0","117","0","609"
"2023","BYD","EK","SEAL","PREMIUM","0","Electric","N/A","1","Auto","4","5","Sedan","2","Pure Electric","0","","","0","","","146","650","Pure EV","","","Yes","0","118","0","613"
"2022","Tesla","","Model Y","RWD (SY6LR)","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","146","510","Pure EV","70","1","Yes","0","118","0","613"
"2021","Tesla","","Model Y","(SY6LR)","0","Electric","N/A","1","Auto","4","5","SUV","2","Pure Electric","0","","","0","","","146","510","Pure EV","70","1","Yes","0","118","0","613"
"2022","Tesla","","Model 3","LongRange (E5LDB)","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","147","602","Pure EV","","","Yes","0","119","0","617"
"2024","Mercedes-Benz","X243","EQB","EQB 250+","0","Electric","N/A","1","Auto","4","7","Wagon","2","Pure Electric","0","","","0","","","147","564","Pure EV","","","Yes","0","119","0","617"
"2024","MINI","J01","Cooper","E","0","Electric","N/A","1","Auto","2","4","Hatch","2","Pure Electric","0","","","0","","","150","271","Pure EV","","4000","Yes","0","122","0","630"
"2024","MINI","J01","Cooper","SE","0","Electric","N/A","1","Auto","2","4","Hatch","2","Pure Electric","0","","","0","","","151","362","Pure EV","","5500","Yes","0","122","0","634"
"2023","Lexus","","RZ 450e","","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","152","470","Pure EV","","","Yes","0","123","0","638"
"2023","MG","","MG4","64kWh EV 4WD","0","Electric","N/A","1","Auto","4","5","Hatch","4","Pure Electric","0","","","0","","","152","460","Pure EV","","","Yes","0","123","0","638"
"2021","Tesla","","Model Y","LongRange (LY5LD)","0","Electric","N/A","1","Auto","4","5","SUV","4","Pure Electric","0","","","0","","","154","612","Pure EV","68","1","Yes","0","125","0","647"
"2021","Tesla","","Model Y","Performance (PY5LD)","0","Electric","N/A","1","Auto","4","5","SUV","4","Pure Electric","0","","","0","","","156","604","Pure EV","68","1","Yes","0","126","0","655"
"2024","Renault","","Megane E-Tech","Techno EV60","0","Electric","N/A","1","Auto","4","5","Hatch","2","Pure Electric","0","","","0","","","156","454","Pure EV","","","Yes","0","126","0","655"
"2020","Tesla","","Model 3","Performance (E3DP)","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","157","628","Pure EV","","","Yes","0","127","0","659"
"2022","Tesla","","Model 3","Performance (E5LDP)","0","Electric","N/A","1","N/A","4","5","Sedan","4","Pure Electric","0","","","0","","","157","615","Pure EV","","","Yes","0","127","0","659"
"2024","BMW","U11","X1","iX1 eDrive20","0","Electric","N/A","1","Auto","4","5","Wagon","2","Pure Electric","0","","","0","","","157","464","Pure EV","","4000","Yes","0","127","0","659"
"2022","Tesla","","Model Y","RWD (SY6LR)","0","Electric","N/A","1","N/A","4","5","SUV","2","Pure Electric","0","","","0","","","157","455","Pure EV","","","Yes","0","127","0","659"
"2024","Mercedes-Benz","H243","EQA Class","EQA 350 4MATIC","0","Electric","N/A","1","Auto","4","5","Wagon","4","Pure Electric","0","","","0","","","159","489","Pure EV","","","Yes","0","129","0","668"
