name,address,description,location_category,location_sub_category,open_date,pricing,free_use,latitude,longitude,port_count,port_level_type,network,manufacturer,power_output_kw,power_output_volts,power_output_amps,renewable_power_supply,CHAdeMO,Tesla_std,Tesla_Fast,Tesla_Roadster,CCS_SAE,J1772,Type2,Commando,Wall_AU
Chargefox Charging Station,126 Baillie St Horsham,,,,,,,-36.6312,142.2229,,,,,,,,,,,,,,,,,
Chargefox Charging Station,61 Curtis St Ballarat,,,,,,,-37.4693,143.855,,,,,,,,,,,,,,,,,
Tesla Destination Charger,219 Main Rd Hepburn,,,,,,,-37.286,144.1736,,,,,,,,,,,,,,,,,
Electric Vehicle Charging Station,"49, B180 Newstead",,,,,,,-37.0321,144.0583,,,,,,,,,,,,,,,,,
Evie Charging Station,3450/33 Forest St Castlemaine,,,,,,,-37.0058,144.2176,,,,,,,,,,,,,,,,,
Evie Charging Station,1 Hutton St Kyneton,,,,,,,-37.1723,144.4758,,,,,,,,,,,,,,,,,
Tesla Destination Charger,72 Piper St Kyneton,,,,,,,-37.235,144.4229,,,,,,,,,,,,,,,,,
Tesla Destination Charger,4 King St Daylesford,,,,,,,-37.3335,144.1426,,,,,,,,,,,,,,,,,
Evie Charging Station,Station St Maryborough,,,,,,,-37.0506,143.7419,,,,,,,,,,,,,,,,,
Evie Charging Station,High St Harcourt,,,,,,,-36.9092,144.267,,,,,,,,,,,,,,,,,
Tesla Destination Charger,371 High St Golden Square,,,,,,,-36.6761,144.245,,,,,,,,,,,,,,,,,
Tesla Destination Charger,150 Condon St Kennington,,,,,,,-36.6716,144.3055,,,,,,,,,,,,,,,,,
Evie Charging Station,Gaol Rd Bendigo,,,,,,,-36.7554,144.287,,,,,,,,,,,,,,,,,
Evie Charging Station,124 High St Woodend,,,,,,,-37.3559,144.5282,,,,,,,,,,,,,,,,,
Chargefox Charging Station,7 Railway Pl Bendigo,,,,,,,-36.7621,144.2828,,,,,,,,,,,,,,,,,
Evie Charging Station,Storm Lne Inglewood,,,,,,,-36.5319,143.8616,,,,,,,,,,,,,,,,,
Evie Charging Station,Chapel St Wedderburn,,,,,,,-36.372,143.611,,,,,,,,,,,,,,,,,
Evie Charging Station,Jones St Avenel,,,,,,,-36.8883,145.2474,,,,,,,,,,,,,,,,,
Tesla Destination Charger,53 Clifton St Euroa,,,,,,,-36.746,145.5591,,,,,,,,,,,,,,,,,
Chargefox Charging Station,167 Tarcombe St Euroa,,,,,,,-36.7275,145.5936,,,,,,,,,,,,,,,,,
Electric Vehicle Charging Station,530 Wyndham St Shepparton,,,,,,,-36.3858,145.397,,,,,,,,,,,,,,,,,
Evie Charging Station,438 High St Echuca,,,,,,,-35.9405,144.7255,,,,,,,,,,,,,,,,,
Evie Charging Station,77 Midland Hwy Mooroopna,,,,,,,-36.3698,145.3619,,,,,,,,,,,,,,,,,
Chargefox Charging Station,154 Campbell Rd Cobram,,,,,,,-35.7267,145.6594,,,,,,,,,,,,,,,,,
Tesla Destination Charger,217 Main St Rutherglen,,,,,,,-36.0262,146.459,,,,,,,,,,,,,,,,,
