latitude,longitude,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl,bezeichnung,betreiber,verbund,betriebsart,anzahl_ladepunkte,arten_ladepunkte,ladekarten,kosten,oeffnungszeiten,website
54.088244,12.124536,0db72a62-39ff-11e7-aa82-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Gertrudenplatz,"02870","2",,"18057",Gertrudenplatz 2,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock","0,39 €/kWh, Grundgebühr 0,99 €",24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Gertrudenplatz-Gertrudenplatz-2/19328/
54.0890664195763,12.1306974297307,130e681a-4e57-4402-a2fd-3d1f6d2c2583,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Kuhstr.,"10250","1",,"18055",Parkplatz Kuhstraße,Wohnen in Rostock Wohnungsgesellschaft mbH,,privat,"15",11 kW,,,,
54.100504,12.181877,cecc6a36-e38f-11ea-ac5a-005056b3c6e4,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Brinckmansdorf,"0020",Alte Dorfstr.,"00040","25",,"18146",BMW Autohaus Wigger,Total Deutschland GmbH,Digital Energy Solutions,halböffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge",kostenpflichtig,,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/BMW-Autohaus-Wigger-Alte-Dorfstrasse-25/46610/
54.109952,12.168471,0688f6db-2008-4182-92c2-1daf45101a09,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Dierkow-Neu,"0021",Lorenzstr.,"03530","75",,"18146",Shell Tankstelle,Shell EV Charging Solutions Germany GmbH,NewMotion,halböffentlich,"4",Combo Typ 2 360 kW,"ADAC e-Charge;EnBW mobility+;LogPay Charge&Fuel Card und App;Plugsurfing;Shell Recharge",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Shell-Tankstelle-Lorenzstrasse-Lorenzstrasse-75/69089/
54.17606,12.05627,479f34d4-9c50-496c-81b4-ea417df1f271,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seebad Warnemünde,"0001",Parkstr.,"07480","47",,"18119",Parkplatz Strand Mitte,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"4",Typ 2 22kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Spontanladen",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkplatz-Strand-Mitte-Parkstrasse-47/66527/
54.138796,12.074583,3124d89c-0d18-11e6-bea4-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Schmarl,"0012",Zur Hansemesse,"12540","1",,"18106",HanseMesse,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"4","2x Typ 2 11 kW, 2x Schuko 2,3 kW","ohne Authentifizierung;Spontanladen",kostenlos,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/HanseMesse-Zur-HanseMesse-1-2/8541/
54.112387,12.136906,56aab138-3602-11ea-ae42-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Toitenwinkel,"0024",Joliot-Curie-Allee,"04180","25",,"18147",Joliot-Curie-Allee,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock","0,39 €/kWh, Grundgebühr 0,99 €",24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Joliot-Curie-Allee-Joliot-Curie-Allee-25/44004/
54.084009,12.126989,0df9b60c-b815-11e9-a35e-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Am Vögenteich,"09790","30",,"18055",Am Vögenteich 30,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock","0,39 €/kWh, Grundgebühr 0,99 €",24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Am-Voegenteich-Am-Voegenteich-30/40041/
54.088113,12.142075,f025481a-3a00-11e7-aa85-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Große Wasserstr.,"03140","10",,"18055",rostock apartment LIVING HOTEL,rostock apartment LIVING HOTEL,,halböffentlich,"2",Typ 2 22 kW,,Parkgebühren,,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Living-Hotel-Grosse-Wasserstrasse-10/18828/
54.08915,12.149386,44106884-14e6-11ea-a12a-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Küterbruch,"06400","5",,"18055",Parkhaus Altstadt,Parkhaus Gesellschaft Rostock GmbH,,halböffentlich,"2",Typ 2 22 kW,"beliebige RFID-Ladekarten;Spontanladen",Parkgebühren,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Parkhaus-Altstadt-Kueterbruch-5/43311/
