Service_Station_Location,Latitude,Longitude
"9 Murray Rose,SYDNEY OLYMPIC PARK NSW 2127,AUSTRALIA",-33.84589758,151.0697681
"76 Cowper St,WALLSEND NSW 2287,AUSTRALIA",-32.90277958,151.669841
"Hunter Valley Gardens 2090 Broke Road,POKOLBIN NSW 2320,AUSTRALIA",-32.77392928,151.293163
"Cnr Hume Highway & Bessemer Street,MITTAGONG NSW 2575,AUSTRALIA",-34.4495405,150.4429263
"140 Queen St,BERRY NSW 2535,AUSTRALIA",-34.77593897,150.7005415
"31 Twynam St,NARRANDERA NSW 2700,AUSTRALIA",-34.74647702,146.5497492
"88 Lovell St,YOUNG NSW 2594,AUSTRALIA",-34.31187813,148.2948011
"13-17 Shire St,WEST WYALONG NSW 2671,AUSTRALIA",-33.92342503,147.2030598
"1 Kendall Avenue,BATHURST NSW 2795,AUSTRALIA",-33.41861309,149.5866089
"27-29 Dalton Street,PARKES NSW 2870,AUSTRALIA",-33.13737585,148.1726385
"76 Wingewarra Street,DUBBO NSW 2830,AUSTRALIA",-32.24969442,148.6099153
"37 Nabiac St,NABIAC NSW 2312,AUSTRALIA",-32.09970764,152.3814491
"2 Kable Avenue,TAMWORTH NSW 2340,AUSTRALIA",-31.09046673,150.9273942
"2a Beach Road,BATEMANS BAY NSW 2536,AUSTRALIA",-35.70858089,150.1756837
"Via Lords Pl (charger behind Orange Civic Theatre),ORANGE NSW 2800,AUSTRALIA",-33.28433645,149.101057
"132 Pound Street,GRAFTON NSW 2460,AUSTRALIA",-29.68836648,152.9338323
"Town Hall Car Park,GLEN INNES NSW 2370,AUSTRALIA",-29.73857928,151.7363904
"11 Ewingsdale Road,EWINGSDALE NSW 2481,AUSTRALIA",-28.63545725,153.5560183
"81 Gipps Street,BEGA NSW 2550,AUSTRALIA",-36.67336146,149.8431557
"Riverside Drive,JUGIONG NSW 2726,AUSTRALIA",-34.82298325,148.3338306
"3-7 Tank Street,LITHGOW NSW 2790,AUSTRALIA",-33.47772722,150.1609403
"Prospect St,HOLBROOK NSW 2644,AUSTRALIA",-35.71674293,147.3171672
"73 Little Barber Street,GUNNEDAH NSW 2380,AUSTRALIA",-30.9781504,150.2509306
"406 Moppett St,HAY NSW 2711,AUSTRALIA",-34.50896936,144.8428368
"John Oxley Drive,THRUMSTER NSW 2444,AUSTRALIA",-31.45824656,152.8290614
"441 Kiewa Street,ALBURY NSW 2640,AUSTRALIA",-36.0837322,146.9143513
"Visitor's Centre Newell Highway,Coonabarabran NSW 2357,AUSTRALIA",-31.27837,149.27955
"77 Darling,Cowra NSW 2794,AUSTRALIA",-33.8341739,148.6942786
"5 Walton Ln,PICTON NSW 2571,AUSTRALIA",-34.1680675,150.6111657
"89 Market St, Balranald NSW 2715",-34.63962676,143.5646291
"81 MEEHAN ST,YASS NSW 2582,AUSTRALIA",-34.84111757,148.9121914
"8-24,Wagga Wagga NSW 2650,AUSTRALIA",-35.11242691,147.5387137
"167C Kelly St,Scone NSW 2337,AUSTRALIA",-32.05026446,150.8669152
"99 Mortimer St,MUDGEE NSW 2850,AUSTRALIA",-32.59295024,149.585035
"Visitor Information Centre 157 Rouse St,TENTERFIELD NSW 2372,AUSTRALIA",-29.0572088,152.0187674
"Visitor's Information Centre 82 Marsh St,Armidale NSW 2350,AUSTRALIA",-30.51129377,151.6684939
"Corner of Kalkite Street and Snowy River Avenue,JINDABYNE NSW 2627,AUSTRALIA",-36.41597995,148.6195201
"Powell St, Jerilderie NSW 2716, AUSTRALIA",-35.354835,145.725109
"Skillmans Lane, Coonamble NSW 2829, AUSTRALIA",-30.95275221,148.3878911
"Neilly St, Walgett NSW 2832, AUSTRALIA",-30.020733,148.117789
"Argyle St & Harrington St,The Rocks NSW 2000,AUSTRALIA",-33.85912996,151.2080001
"403 Tarean Street,Karuah NSW 2324,AUSTRALIA",-32.65371782,151.9629963
"22 Victor Street,Chatswood NSW 2067,AUSTRALIA",-33.79746203,151.1826494
"Terminal 3, Sydney Domestic Airport, Shiers Ave,Mascot NSW 2020,AUSTRALIA",-33.95144309,151.1759629
"135 King Street,Sydney NSW 2000,AUSTRALIA",-33.86926096,151.2087242
"2 Beach Road,Batesman Bay NSW 2536,AUSTRALIA",-35.70874057,150.1768202
"2A Todman Avenue,Kensington NSW 2033,AUSTRALIA",-33.90407538,151.2151087
"3/1-2 Joule Pl,Tuggerah NSW 2259,AUSTRALIA",-33.29816166,151.4184774
"1650 Alpine Wy,Lake Crackenback NSW 2627,AUSTRALIA",-36.44543132,148.4512318
"1 Violet,Katoomba NSW 2780,AUSTRALIA",-33.7288363,150.2986953
