ID,GEM_TRIGR,GEMEENTE,LOCATIE,POSTCODE,PLAATS,TYPE,X,Y,LAT,LONG,BRON,ACTUALITEIT
101,DMN,Diemen,Beukenhorst 304,1112BL,Diemen,GEWONE_LADER,125774.837,483362.838,52.3374125,4.9583952,https://openbaarladen.nl,2020-01-13
102,DMN,Diemen,Distelvlinderweg 78,1113KC,Diemen,GEWONE_LADER,127345.399,484444.937,52.347219,4.98135,https://openbaarladen.nl,2020-01-13
103,DMN,Diemen,Henry Dunantlaan 71,1111ZH,Diemen,SNELLADER,126528.476,483814.698,52.3415131,4.9694145,https://openbaarladen.nl,2020-01-13
104,DMN,Diemen,Houtbosch 61,1111SR,Diemen,SNELLADER,126638.734,485039.28,52.3525246,4.9709292,https://openbaarladen.nl,2020-01-13
105,DMN,Diemen,Johan van Soesdijkstraat 38,1111BD,Diemen,GEWONE_LADER,125511.446,483693.537,52.3403705,4.9545017,https://openbaarladen.nl,2020-01-13
106,DMN,Diemen,Keulse Vaart 95,1111RN,Diemen,GEWONE_LADER,126799.876,483134.917,52.3354176,4.9734539,https://openbaarladen.nl,2020-01-13
107,DMN,Diemen,Martin Luther Kinglaan 412,1111LS,Diemen,SNELLADER,126096.591,484182.984,52.3448005,4.9630456,https://openbaarladen.nl,2020-01-13
108,DMN,Diemen,Meidoornplein 24,1112EK,Diemen,SNELLADER,125434.622,483381.707,52.3375639,4.9534018,https://openbaarladen.nl,2020-01-13
109,DMN,Diemen,Kruidenhof 30,1112PS,Diemen,SNELLADER,125720.101,482927.205,52.3334943,4.95763,https://openbaarladen.nl,2020-01-13
110,DMN,Diemen,Nicolaas Lublinkstraat 2,1111EN,Diemen,SNELLADER,126331.097,483375.941,52.3375595,4.9665557,https://openbaarladen.nl,2020-01-13
111,DMN,Diemen,Albert Loethoelistraat 210,1111KZ,Diemen,GEWONE_LADER,126208.951,484066.54,52.3437598,4.9647044,https://openbaarladen.nl,2020-01-13
112,DMN,Diemen,Rietgors 11,1111VP,Diemen,SNELLADER,126830.404,484784.469,52.3502444,4.9737638,https://openbaarladen.nl,2020-01-13
113,DMN,Diemen,Gravenland 18,1111SM,Diemen,GEWONE_LADER,126538.64,484964.742,52.3518495,4.9694664,https://openbaarladen.nl,2020-01-13
114,DMN,Diemen,Van Medenbach Wakkerplein 1,1111CX,Diemen,GEWONE_LADER,126028.995,483576.81,52.339349,4.9621059,https://openbaarladen.nl,2020-01-13
