Unnamed: 0,Location Name,Latitude,Longitude,Town,Postal Code,City,Address,Plugs_Type2,Plugs_Three_Phase,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Caravan_Mains_Socket,Plugs_wall_AU/NZ,Power 1,charging_stations,Nearby EVStations,Hospitals,Parks,Restaurants,Malls,Supermarkets,Coffee,School
0,Chargefox Charging Station,-35.9314679,145.6616908,Cobram,3644,Cobram,"154 Campbell Rd,Cobram Vic 3644",1,0,0,0,0,0,0,0,14.6,1,0,3,0,0,0,0,0,0
1,Secure Parking,-37.832108,144.969126,N.A,3205,Melbourne,"15-29 Bank Street, South Melbourne VIC 3205, Australia",0,0,0,0,0,0,0,21,42.2,21,15,4,18,20,4,20,7,1
2,Lonsdale St,-37.81343708,144.955934,N.A,3000,Melbourne,"535 Little Lonsdale St, Melbourne VIC 3004, Australia",0,0,0,0,2,0,0,0,18.6,2,20,3,18,20,20,20,14,2
3,Sorrento Community Centre,-38.33856,144.737043,N.A,3943,Melbourne,"860 Melbourne Rd, Sorrento VIC 3943, Australia",0,0,4,4,0,0,0,0,50.065,8,1,0,5,20,0,6,6,1
4,CTR Whittlesea,-37.51059,145.118412,N.A,3757,Melbourne,"74A Church St, Whittlesea VIC 3757, Australia",0,0,2,2,0,0,0,0,50.065,4,1,0,9,20,0,1,2,1
5,Rye & Sorrento Camping,-38.3588556,144.8913029,N.A,3943,Melbourne,"1380 Point Nepean Rd Portsea VIC 3944, Australia",0,0,0,0,0,0,0,1,24.2,1,1,0,9,3,0,1,4,2
6,Red Rock (Coming Soon),-38.453893,145.199794,N.A,3922,Cowes,"4 Lynton Ct, Cowes VIC 3922, Australia",0,0,0,0,0,0,0,1,24.2,1,0,0,2,0,0,0,0,0
7,Wanzl / Rectifier Technologies,-37.85402,145.104433,N.A,3125,Melbourne,"97 Highbury Rd, Burwood VIC 3125, Australia",0,0,0,1,0,0,0,0,33.2,1,2,0,8,20,2,3,1,0
8,Cowes Transit Centre,-38.451339,145.240243,N.A,3922,Cowes,"Cowes Transit Centre, Church St, Cowes VIC 3922, Australia",1,0,0,0,2,1,0,0,19.8,4,2,2,10,20,3,9,13,1
9,Melbourne Museum,-37.804609,144.972702,N.A,3053,Melbourne,"11 Nicholson St, Carlton VIC 3053, Australia",0,0,0,0,0,2,0,0,21.64,2,17,13,18,20,20,20,1,1
10,Atura Hotel Dandenong,-38.002297,145.250432,N.A,3177,Melbourne,"5-17 Doveton Avenue, Eumemmerring, Victoria, Australia, VIC 3177",0,0,0,0,1,0,0,0,22,1,2,0,3,20,1,4,0,1
11,Club Trillium (gym/pool) carpark,-37.565285,144.893834,N.A,3064,Melbourne,"19A Trillium Boulevard, Mickleham VIC 3064, Australia",0,0,0,0,0,1,0,0,12.72,1,0,0,7,0,1,1,0,1
12,West Oval,-38.126969,144.3461291,N.A,3215,Geelong,"Weddell Rd, North Geelong VIC 3215, Australia",2,0,0,0,0,0,0,0,22,2,2,1,6,20,2,7,0,0
13,Hobsons Bay Civic Centre,-37.863399,144.831492,N.A,3018,Melbourne,"115 Civic Parade, Altona VIC 3018, Australia",0,0,1,1,0,0,0,0,50,2,2,0,9,20,1,5,0,1
14,Woodman Estate,-38.282256,145.125377,N.A,3933,Melbourne,"136 Graydens Road Moorooduc VIC 3933, Australia",2,0,0,0,0,0,0,0,10.8,2,0,0,1,1,0,0,1,0
15,Electric Vehicle Charging Station,-37.03208343,144.0582814,Newstead,3463,N.A,"49, B180",0,0,0,0,0,0,0,0,13.24,5.4,0,0,0,0,0,0,0,0
16,Mornington Supercharger,-38.234305,145.051085,N.A,3931,Melbourne,"75 Mornington-Tyabb Rd, Mornington VIC 3931, Australia",0,0,0,0,6,0,0,0,250,6,2,3,3,19,4,6,2,0
17,Skyrail Rainforest Cableway,-16.8476624,145.6950452,Smithfield,4878,Cairns,"6 Skyrail Dr, Smithfield QLD 4878, Australia",2,0,0,0,0,0,0,0,7,2.2,1,1,4,19,1,3,1,0
18,Hart's Farm,-38.4092,145.0067,N.A,3928,Melbourne,"Gate 2, 300 Tucks Rd, Shoreham, VIC, Australia, VIC 3916",0,0,0,0,1,0,0,0,2,1,0,0,0,4,0,0,0,0
19,Armstrong Creek East Community Hub,-38.231922,144.368965,N.A,3217,N.A,"46-70 Central Boulevard, Armstrong Creek VIC 3217, Australia",6,0,0,0,0,0,0,0,12.4,6,1,0,3,6,1,3,1,2
20,Middy's Smart Centre (Behind Mulgrave Branch),-37.918327,145.148532,N.A,3168,Melbourne,"214 Wellington Rd, Clayton VIC 3168, Australia",1,0,0,0,0,0,0,0,14.6,1,6,1,2,20,3,8,1,0
21,Nepean Country Club And & Day Spa,-38.398895,144.870509,N.A,3940,Melbourne,"205 Browns Rd, Boneo VIC 3939, Australia",0,1,0,0,0,1,0,1,32.92,3,2,0,0,1,0,0,0,0
22,Bourke St,-37.81477906,144.956447,N.A,3000,Melbourne,"542 Little Bourke St, Melbourne VIC 3000, Australia",0,0,0,0,0,0,0,1,24.2,1,20,3,20,20,20,20,14,3
23,Energy Smart Water,-38.334999,144.98653,N.A,3936,Melbourne,"11 Dalkeith Drive, Dromana VIC 3936, Australia",0,0,0,0,0,1,0,0,12.72,1,0,0,4,9,0,1,1,4
24,South Melbourne,-37.82974328,144.960726,N.A,3205,Melbourne,"229 Coventry St, South Melbourne VIC 3205, Australia",0,0,0,0,0,0,0,1,24.2,1,20,1,19,20,5,20,8,0
25,Pacific Epping Shopping Centre,-37.653416,145.016892,N.A,3075,Melbourne,"583 High St, Epping VIC 3076, Australia",0,0,0,0,2,0,0,0,22,2,2,7,2,20,8,13,9,0
26,Jet City Hangar 131,-37.719978,144.892935,N.A,3041,Melbourne,"Essendon Fields VIC 3042, Australia",0,0,0,0,1,0,0,0,22,1,2,0,6,20,2,10,0,1
27,Ampol Foodary Altona North,-37.84646146,144.8088603,N.A,3025,Melbourne,"1 Horsburgh Drive, Altona North, VIC 3025, Australia",0.8,0,2,2,0,0,0,0,70.026,4.6,2,0,0,2,0,0,0,0
28,Glenroy Community Hub,-37.708497,144.924037,N.A,3046,Melbourne,"50 Wheatsheaf Rd, Glenroy 3046, Australia",1,0,0,0,0,0,0,0,11,1,2,1,6,20,0,16,0,1
29,Lygon Street Car park,-37.802158,144.96708,N.A,3053,Melbourne,204-218 Lygon St Carlton Victoria 3053 Australia,1,0,0,0,0,0,0,0,14.6,1,15,13,17,20,15,20,3,3
30,Paradigm Hill Winery,-38.385929,145.071771,N.A,3916,Melbourne,"26 Merricks Road Merricks VIC 3916, Australia",0,0,0,0,1,0,0,0,22,1,1,0,1,0,0,0,0,0
31,Chargefox Charging Station,-36.72751175,145.5935891,Euroa,3666,N.A,167 Tarcombe St,0,0,1,1,0,0,0,0,40,2.2,1,0,0,0,0,0,0,0
32,Dandenong Agricultural and Pastoral Society,-37.983731,145.196402,N.A,3174,Melbourne,"Dandenong‎ VIC‎ 3175, Australia",0,0,0,0,0,0,0,1,24.2,1,0,0,8,20,0,8,0,0
33,Melbourne Airport - Qantas Valet Parking,-37.669133,144.851581,N.A,3045,Melbourne,"15-25 Francis Briggs Road, Tullamarine, , Australia, VIC 3045",0,0,0,0,2,0,0,0,22,2,0,0,0,20,1,1,6,0
34,Secure Parking (450 Flinders Lane),-37.818758,144.958866,N.A,3000,Melbourne,"450 Flinders Ln, Melbourne VIC 3000, Australia",10,0,0,0,0,0,0,0,19,10,20,4,16,20,20,20,18,5
35,Lakeside Villas at Crittenden Estate,-38.335276,145.018981,N.A,3936,Melbourne,"25 Harrisons Rd, Dromana VIC 3936, Australia",2,0,0,0,0,0,0,0,10.8,2,1,0,0,2,0,1,0,0
36,Ampol Dandenong Stud Road,-37.97134,145.223814,N.A,3177,Melbourne,"Corner Stud And, Heatherton Rd, Dandenong VIC 3175, Australia",0,0,4,4,0,0,0,0,350,8,2,5,5,11,2,1,3,0
37,Lorbek Luxury Cars,-37.833209,144.919764,N.A,3207,Melbourne,"327 Plummer St, Port Melbourne VIC 3207, Australia",3,0,0,0,0,0,0,0,22,3,5,0,13,13,0,1,2,0
38,McDonald’s Melton South,-37.722801,144.572251,N.A,3338,Melbourne,"179-253 Exford Rd, Weir Views VIC 3338, Australia",0,0,4,4,0,0,0,0,50,8,1,0,4,10,1,4,3,0
39,Huberts Estate,-37.697017,145.415698,N.A,3770,Melbourne,"10 St Huberts Rd, Coldstream VIC 3770, Australia",1,0,0,0,0,0,0,0,14.6,1,1,0,0,4,0,0,0,0
40,Swinburne University - TC Building,-37.820819,145.039887,N.A,3122,Melbourne,"20 William St, Hawthorn VIC 3122, Australia",0,0,1,1,0,0,0,0,50,2,2,1,9,20,2,12,2,3
41,Donato Cafe,-38.256559,145.037439,N.A,3934,Melbourne,"88 Craigie Rd, Mount Martha VIC 3934, Australia",0,0,0,0,2,0,0,0,5,2,0,0,4,8,1,2,1,1
42,Hyatt Centric Melbourne,-37.820407,144.955802,N.A,3000,Melbourne,"25 Downie St, Melbourne VIC 3000, Australia",2,0,0,0,0,0,0,0,10.8,2,20,3,17,20,20,20,8,2
43,Park Hyatt Melbourne,-37.811933,144.976125,N.A,3002,Melbourne,"1 Parliament Square Off, Parliament Pl, Melbourne VIC 3002, Australia",2,0,0,0,0,0,0,0,10.8,2,19,16,18,20,20,20,5,1
44,Westfield Airport West,-37.713651,144.885527,N.A,3042,Melbourne,"29-35 Louis St, Airport West VIC 3042, Australia",0,0,2,6,0,0,0,0,50,8,2,0,2,20,1,6,7,0
45,Northern Motor Group - Pre Delivery Dept,-37.704572,145.072077,N.A,3083,Melbourne,"55 Clements Avenue, Bundoora‎ VIC‎ 3083, Australia",0,0,0,0,0,1,0,0,12.72,1,1,1,8,20,2,7,0,0
46,Laverton Community Hub,-37.865302,144.76925,N.A,3028,Melbourne,"Cohealth Clinic, Laverton Community Hub Corner Donald St &, Railway Ave, Laverton VIC 3028, Australia",2,0,0,0,0,0,0,0,10.8,2,1,0,9,20,1,11,2,1
47,BP Caroline Springs (Coming Soon),-37.75577,144.741077,N.A,3023,Melbourne,"1324-1332 Western Hwy, Caroline Springs VIC 3023, Australia",0,0,0,1,0,0,0,0,33.2,1,0,0,7,20,3,6,2,0
48,Wunggurrwil Dhurrung Centre,-37.876378,144.62706,N.A,3024,Melbourne,"Wunggurrwil Dhurrung Centre 19 Communal Road, Wyndham Vale VIC 3024, Australia",1,0,0,0,0,0,0,0,14.6,1,2,0,10,14,2,4,0,1
49,District Docklands Shopping - West Carpark,-37.812855,144.93695,N.A,3008,Melbourne,"8-9 Star Circus, Docklands VIC 3008, Australia",0,0,0,0,1,0,0,0,22,1,12,0,18,20,3,12,4,0
50,Darebin Civic Centre Precinct,-37.740102,145.005114,N.A,3072,Melbourne,"274 Gower Street, Preston VIC 3072, Australia",2,0,0,0,0,0,0,0,10.8,2,2,1,10,20,0,18,6,2
51,CB Smith Reserve,-37.702614,144.969502,N.A,3060,Melbourne,99 Jukes Road Fawkner VIC 3060 AU,0,0,1,1,0,0,0,0,25,2,2,0,2,19,1,11,0,1
52,Docklands,-37.81279364,144.9373902,N.A,3008,Melbourne,"8-9 Star Circus, Docklands VIC 3008, Australia",0,0,0,0,1,0,0,0,15,1,12,0,18,20,3,14,4,0
53,Hobsons Bay Civic Centre,-37.86361164,144.8310105,N.A,3018,Melbourne,"115 Civic Parade, Altona VIC 3018, Australia",1,0,1,1,0,0,0,0,45,3,2,0,9,20,1,5,0,1
54,Melbourne Richmond Supercharger,-37.831997,144.995807,N.A,3121,Melbourne,"650 Church St, Cremorne VIC 3121, Australia",0,0,0,0,4,0,0,0,120,4,15,0,17,20,5,0,4,0
55,Wilson Parking,-37.811294,144.967823,N.A,3000,Melbourne,"222 Russell St, Melbourne VIC 3000, Australia",2,0,0,0,0,0,0,0,11,2,17,7,20,20,20,20,11,2
