Latitude,Longitude,charger_type
-35.72671957,145.6593541,Type2
-38.451339,145.240243,Type2
-38.129308,144.345207,Type2
-38.282256,145.125377,Type2
-16.8476624,145.6950452,Type2
-38.231922,144.368965,Type2
-37.918327,145.148532,Type2
-37.84646146,144.8088603,Type2
-37.708497,144.924037,Type2
-37.802158,144.96708,Type2
-37.818758,144.958866,Type2
-38.335276,145.018981,Type2
-37.833209,144.919764,Type2
-37.697017,145.415698,Type2
-37.820407,144.955802,Type2
-37.811933,144.976125,Type2
-37.865302,144.76925,Type2
-37.876378,144.62706,Type2
-37.740102,145.005114,Type2
-37.86361164,144.8310105,Type2
-37.811294,144.967823,Type2
-25.23560702,152.2788755,Type2
-38.246677,144.540122,Type2
-37.94168,145.167746,Type2
-37.702301,145.102344,Type2
-24.32778446,151.5601492,Type2
-37.758997,145.068632,Type2
-16.5271215,145.4631622,Type2
-37.76693229,145.0308257,Type2
-37.932688,145.097119,Type2
-37.807804,144.958282,Type2
-37.812895,145.010271,Type2
-37.863107,144.904614,Type2
-37.908137,145.131936,Type2
-38.172122,144.367288,Type2
-37.773851,144.961886,Type2
-37.817041,144.998664,Type2
-37.80782358,144.9581717,Type2
-37.771404,144.962021,Type2
-37.817852,144.955291,Type2
-37.86223596,144.9739984,Type2
-38.16275,144.350693,Type2
-37.71912127,144.9615062,Type2
-37.848953,145.133898,Type2
-26.418047,152.911429,Type2
-37.957007,145.153146,Type2
-16.6597114,145.5663743,Type2
-38.05485257,145.1166042,Type2
-37.81861176,144.9586537,Type2
-38.163929,144.411376,Type2
-37.821895,144.966652,Type2
-37.80216073,144.9671638,Type2
-38.110037,145.336394,Type2
-37.8191,144.957613,Type2
-37.821964,145.124448,Type2
-19.5740619,147.4056813,Type2
-37.797009,144.926387,Type2
-37.81180407,144.9677026,Type2
-37.906157,145.159718,Type2
-37.81129305,144.967822,Type2
-37.580985,144.724278,Type2
-37.51043222,145.11856,Type2
-37.835382,145.163537,Type2
-37.616294,144.914873,Type2
-37.915767,145.216905,Type2
-37.955662,145.038605,Type2
-37.927929,145.143552,Type2
-19.2714721,146.7858734,Type2
-37.832093,144.919335,Type2
-37.886337,145.07958,Type2
-27.44449167,153.0836111,Type2
-37.77360197,144.9618831,Type2
-37.86758,144.974352,Type2
-17.6524637,145.9570688,Type2
-23.5236365,148.1593512,Type2
-37.728819,145.077998,Type2
-37.722925,145.142426,Type2
-37.83203,144.956791,Type2
-37.83163355,144.9194251,Type2
-37.90797166,145.1312195,Type2
-37.93704,145.050288,Type2
-37.72198498,144.5729271,Type2
-37.849295,145.00279,Type2
-27.68194444,152.8997222,Type2
-37.94260024,145.1197763,Type2
-23.38227211,150.5134619,Type2
-38.225361,144.337345,Type2
-38.473287,145.016892,Type2
-37.941172,145.061402,Type2
-37.821726,144.965184,Type2
-37.985484,145.232704,Type2
-37.942988,145.11844,Type2
-38.372182,145.018678,Type2
-18.2625592,146.0249012,Type2
-37.531509,145.339577,Type2
-16.923837,145.7796679,Type2
-17.5209629,146.0261103,Type2
-37.81621089,144.9709391,Type2
-37.689194,145.110764,Type2
-37.596809,145.412205,Type2
-37.935556,145.189902,Type2
-37.82076345,144.9663122,Type2
-37.83316274,144.9197754,Type2
