name,address,postcode,latitude,longitude,networks,total_plugs,Plugs_CCS_SAE,Plugs_CHAdeMO,Plugs_Caravan_Mains_Socket,Plugs_J1772,Plugs_Tesla,Plugs_Three_Phase,Plugs_Commando,Plugs_Type2,Plugs_Wall_AU_NZ,Plugs_Other,power_outputs_kw
Mornington Supercharger,"75 Mornington-Tyabb Rd, Mornington VIC 3931, Australia",3931,-38.234305,145.051085,['Supercharger'],6,0,0,0,0,6,0,,0,0,,[250.0]
Sorrento Community Centre,"860 Melbourne Rd, Sorrento VIC 3943, Australia",3943,-38.33856,144.737043,['Evie Networks'],8,4,4,0,0,0,0,,0,0,,[50.065]
CTR Whittlesea,"74A Church St, Whittlesea VIC 3757, Australia",3757,-37.51059,145.118412,['Evie Networks'],4,2,2,0,0,0,0,,0,0,,[50.065]
Rye & Sorrento Camping,"1380 Point Nepean Rd Portsea VIC 3944, Australia",3944,-38.320637,144.718201,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
McDonalds Melton South,"179-253 Exford Rd, Weir Views VIC 3338, Australia",3338,-37.722801,144.572251,['Evie Networks'],8,4,4,0,0,0,0,,0,0,,[50.0]
Club Trillium (gym/pool) carpark,"Trillium Boulevard, Mickleham VIC 3064, Australia",3064,-37.565285,144.893834,['Non-networked'],1,0,0,0,1,0,0,,0,0,,['unknown']
Chelsea Swansea Road Car Park,"1 Swansea Rd, Chelsea 3196, Australia",3196,-38.054795,145.115952,['Evie Networks'],8,4,4,0,0,0,0,,0,0,,[50.065]
Ampol Dandenong Stud Road,"Corner Stud And, Heatherton Rd, Dandenong VIC 3175, Australia",3175,-37.97134,145.223814,['Evie Networks'],8,4,4,0,0,0,0,,0,0,,[350.0]
Uni Hill Town Centre,"Shop 17/5 Janefield Dr, Bundoora VIC 3083, Australia",3083,-37.683069,145.071032,['Evie Networks'],8,4,4,0,0,0,0,,0,0,,[50.0]
De Bortoli Wines Dixons Creek,"58 Pinnacle Ln, Dixons Creek VIC 3775, Australia",3775,-37.596809,145.412205,"['Tesla Destination', 'Non-networked']",4,0,0,0,0,2,0,,1,1,,"['unknown', 22.0]"
Bollygum Park,"Bollygum Park, 40 Whittlesea-Kinglake Rd, Kinglake VIC 3763, Australia",3763,-37.529366,145.339116,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Moonee Ponds Supercharger,"665 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",3039,-37.765834,144.923586,['Supercharger'],6,0,0,0,0,6,0,,0,0,,[120.0]
Sundowner Rockbank Caravan Park,"Rockbank VIC 3335, Australia",3335,-37.730067,144.659873,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Red Rooster Vermont,"401 Canterbury Rd, Vermont 3134, Australia",3134,-37.83192,145.213897,['Evie Networks'],4,2,2,0,0,0,0,,0,0,,[50.065]
Queenscliff Brewhouse,"2 Gellibrand St, Queenscliff, Australia, VIC 3225",3225,-38.265713,144.663211,['Non-networked'],1,0,0,0,0,1,0,,0,0,,[7.0]
