name,latitude,longitude,address
Electric Charging Station,-37.814844,144.969685,"123 Collins St, Melbourne VIC 3000"
Electric Charging Station,-37.813111,144.955756,"535 Little Lonsdale St, Melbourne VIC 3004"
Electric Charging Station,-37.809862,144.969334,"Cnr Exhibition & Lonsdale St, Melbourne VIC 3000"
Electric Charging Station,-37.816156,144.954675,"636 Bourke St, Melbourne VIC 3000"
Electric Charging Station,-37.817739,144.971282,"133 Russell St, Melbourne VIC 3000"
Electric Charging Station,-37.805562,144.963449,"488 Swanston St, Carlton VIC 3053"
Electric Charging Station,-37.820407,144.955802,"25 Collins St, Melbourne VIC 3000"
Electric Charging Station,-37.813233,144.937176,"440 Docklands Dr, Docklands VIC 3008"
Electric Charging Station,-37.837936,144.995604,"637-641 Chapel St, South Yarra VIC 3141"
Electric Charging Station,-37.849949,144.978358,"67 Queens Rd, Albert Park VIC 3004"
Electric Charging Station,-37.819623,145.013029,"649 Bridge Rd, Richmond VIC 3121"
Electric Charging Station,-37.862284,144.973965,"2 Acland St, St Kilda VIC 3182"
Electric Charging Station,-37.765833,144.923541,"665 Mt Alexander Rd, Moonee Ponds VIC 3039"
Electric Charging Station,-37.845707,145.048166,"800 Toorak Rd, Hawthorn East VIC 3123"
Electric Charging Station,-37.829085,145.056094,"793 Burke Rd, Camberwell VIC 3124"
Electric Charging Station,-37.887286,145.0824,"1341 Dandenong Rd, Malvern East VIC 3145"
Electric Charging Station,-37.783387,145.125971,"619 Doncaster Rd, Doncaster VIC 3108"
Electric Charging Station,-37.653416,145.016892,"571-583 High St, Epping VIC 3076"
Electric Charging Station,-37.649612,145.008,"250 Cooper St, Epping VIC 3076"
Electric Charging Station,-37.762252,145.16823,"181 Reynolds Rd, Doncaster East VIC 3109"
Electric Charging Station,-37.922105,145.14006,"2107-2125 Dandenong Rd, Clayton VIC 3168"
Electric Charging Station,-37.69657,144.78212,"410 Melton Hwy, VIC 3038"
Electric Charging Station,-37.884254,144.736465,"Cnr Main & Murnong Sts, Point Cook VIC 3030"
Electric Charging Station,-37.81425,145.229003,"175 Maroondah Hwy, Ringwood VIC 3134"
Tesla Supercharger,-37.828582,145.05637,"793 Burke Rd, Camberwell VIC 3124"
Chargefox,-37.876002,145.044094,"880 Princess Hwy Service Rd, Caulfield East VIC 3145"
Chargefox Bayside City Council,-37.959154,145.01778,"76 Royal Ave, Sandringham VIC 3191"
Electric Charging Station,-38.041583,145.209861,"388-404 Frankston Dandenong Rd, Bangholme VIC 3175"
Tesla Supercharger,-37.832111,144.995856,"650 Church St, Cremorne VIC"
Tesla Supercharger,-37.765834,144.923586,"Level B2, Hall St"
Southern Cross Station,-37.817844,144.953335,"99 Spencer St, Melbourne VIC 3008"
Tram Stop 65 - Kooyong Station (16),-37.839873,145.0324,"Warra St (Glenferrie Rd), Kooyong VIC 3144"
Glenferrie Station,-37.821563,145.036567,"698 Glenferrie Rd (Glenferrie Road), Hawthorn VIC 3122"
TNT - FedEx Station,-37.697258,144.858263,"45 Sky Rd, Melbourne Airport VIC 3045"
Blackburn Station Bus Interchange (South Pd),-37.820624,145.150784,"132 South Pde, Blackburn VIC 3130"
Station Cafe 134,-37.702085,145.106779,"134 Main St, Greensborough VIC 3088"
Mitcham Station Bus Interchange (Colombo St),-37.817394,145.191403,"Colombo St, Mitcham VIC 3132"
Victoria Station,-37.969655,145.087606,"250 Centre Dandenong Rd, Moorabbin Airport VIC 3194"
Ringwood Station Bus Interchange,-37.815352,145.229307,Ringwood VIC
Edithvale Station Bus Stop,-38.038066,145.109937,"Station St and Edithvale Rd, Edithvale VIC 3196"
Boronia Station Bus Interchange,-37.858933,145.285392,Boronia VIC 3155
Bus Stop 42273 - Chelsea Station (706/858/902),-38.051815,145.116368,"Station St, Chelsea VIC 3196"
TNT - FedEx Station,-38.009943,145.256193,"34-38 Wedgewood Rd, Hallam VIC 3803"
Nizpro Turbo Charging,-37.848022,145.279179,"46 Barry St, Bayswater VIC 3153"
Battery Charging Systems,-38.154169,145.14623,"4 Leawarra Pde, Frankston VIC 3199"
Electric Charging Station,-38.256519,145.037619,"88 Craigie Rd, Mount Martha VIC 3934"
Electric Charging Station,-38.372182,145.018678,"120 Arthurs Seat Rd, Red Hill VIC 3937"
Electric Charging Station,-38.385929,145.071771,"26 Merricks Rd, VIC 3916"
Electric Charging Station,-38.380923,144.912544,"306 Jetty Rd, Rosebud VIC 3939"
Electric Charging Station,-38.370706,144.820589,"2415 Point Nepean Rd, Rye VIC 3941"
Electric Charging Station,-38.474449,145.019202,"23-31 Cook St, Flinders VIC 3929"
Electric Charging Station,-38.451339,145.240243,"83 Thompson Ave, Cowes VIC 3922"
Electric Charging Station,-38.215006,145.422798,"3260 S Gippsland Hwy, Tooradin VIC 3980"
Electric Charging Station,-38.522078,145.314042,"1215 Phillip Island Rd, VIC 3925"
Electric Charging Station,-38.510632,145.335305,"100 Churchill Rd, Newhaven VIC 3925"
Tesla Supercharger,-38.234305,145.051085,75 Mornington-Tyabb Rd
Electric Charging Station,-37.650208,145.50327,"122 Healesville-Kinglake Rd, Healesville VIC 3777"
Electric Charging Station,-37.596809,145.412205,"58 Pinnacle Ln, Dixons Creek VIC 3775"
Electric Charging Station,-37.753425,145.707412,"30 Woods Point Rd, Warburton VIC 3799"
