data_through_date,submitted_date,make,model,county,zip,ev_type,transaction_type,annual_ghg_emissions_reductions_mt_co2e,annual_petroleum_reductions_gallons,rebate_amount_usd
2020-02-29,2018-01-13,Ford,Focus,Westchester,10598,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-09-25,Ford,Focus,Oneida,13601,BEV,Lease,2.76,592.89,1700
2020-02-29,2018-04-26,Ford,Focus,Suffolk,11776,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-08-30,Ford,Focus,Nassau,11756,BEV,Lease,2.76,592.89,1700
2020-02-29,2018-05-29,Ford,Focus,Onondaga,13039,BEV,Purchase,2.76,592.89,1700
2020-02-29,2017-07-10,Ford,Focus,Westchester,10514,BEV,Purchase,2.76,592.89,1700
2020-02-29,2017-10-02,Ford,Focus,Richmond,10312,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-12-27,Ford,Focus,Dutchess,12538,BEV,Purchase,2.76,592.89,1700
2020-02-29,2018-03-12,Ford,Focus,Rockland,10965,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-07-25,Ford,Focus,Lewis,13620,BEV,Purchase,2.76,592.89,1700
2020-02-29,2017-10-04,Ford,Focus,Westchester,10570,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-12-18,Ford,Focus,Suffolk,11746,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-09-01,Ford,Focus,Suffolk,11946,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-05-02,Ford,Focus,Steuben,14807,BEV,Purchase,2.76,592.89,1700
2020-02-29,2017-04-20,Ford,Focus,Schenectady,12309,BEV,Purchase,2.76,592.89,1700
2020-02-29,2017-08-14,Ford,Focus,Oneida,13413,BEV,Purchase,2.76,592.89,1700
2020-02-29,2017-08-14,Ford,Focus,Ulster,12401,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-04-24,Ford,Focus,Albany,12023,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-06-27,Ford,Focus,Onondaga,13066,BEV,Purchase,2.76,592.89,1700
2020-02-29,2017-08-14,Ford,Focus,Nassau,11542,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-05-08,Ford,Focus,Chenango,13815,BEV,Purchase,2.76,592.89,1700
2020-02-29,2017-12-30,Ford,Focus,Westchester,10549,BEV,Lease,2.76,592.89,1700
2020-02-29,2018-06-08,Ford,Focus,Broome,13850,BEV,Lease,2.76,592.89,1700
2020-02-29,2018-02-27,Ford,Focus,Suffolk,11741,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-08-14,Ford,Focus,Nassau,11050,BEV,Lease,2.76,592.89,1700
2020-02-29,2017-04-28,Ford,C-MAX Energi,Nassau,11797,PHEV,Lease,1.97,336.31,500
2020-02-29,2017-05-08,Ford,C-MAX Energi,Suffolk,11934,PHEV,Lease,1.97,336.31,500
2020-02-29,2017-07-31,Ford,C-MAX Energi,Nassau,11590,PHEV,Purchase,1.97,336.31,500
2020-02-29,2017-06-14,Ford,C-MAX Energi,Erie,14220,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-09-16,Ford,C-MAX Energi,Westchester,10562,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-10-26,Ford,C-MAX Energi,Nassau,11050,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-07-07,Ford,C-MAX Energi,Nassau,11501,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-07-07,Ford,C-MAX Energi,Suffolk,11720,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-06-22,Ford,C-MAX Energi,Richmond,10312,PHEV,Lease,2.1,350.58,1100
2020-02-29,2018-01-19,Ford,C-MAX Energi,Columbia,12534,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-09-15,Ford,C-MAX Energi,Kings,11209,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-09-25,Ford,C-MAX Energi,Putnam,10516,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-10-23,Ford,C-MAX Energi,Washington,12832,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-09-06,Ford,C-MAX Energi,Suffolk,11788,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-08-24,Ford,C-MAX Energi,Steuben,14843,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-11-24,Ford,C-MAX Energi,Warren,12801,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-10-25,Ford,C-MAX Energi,Suffolk,11767,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-08-14,Ford,C-MAX Energi,Kings,11237,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-11-15,Ford,C-MAX Energi,Onondaga,13057,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-09-20,Ford,C-MAX Energi,Suffolk,11766,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-08-07,Ford,C-MAX Energi,Nassau,11040,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-10-25,Ford,C-MAX Energi,Washington,12887,PHEV,Purchase,2.1,350.58,1100
2020-02-29,2018-01-03,Ford,C-MAX Energi,Suffolk,11939,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-08-14,Ford,C-MAX Energi,Nassau,11050,PHEV,Purchase,2.1,350.58,1100
2020-02-29,2017-10-20,Ford,C-MAX Energi,Erie,14227,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-05-31,Ford,C-MAX Energi,Suffolk,11779,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-05-26,Ford,C-MAX Energi,Washington,12832,PHEV,Lease,2.1,350.58,1100
2020-02-29,2018-01-24,Ford,C-MAX Energi,Warren,12801,PHEV,Lease,2.1,350.58,1100
2020-02-29,2017-09-20,Ford,C-MAX Energi,Suffolk,11937,PHEV,Lease,2.1,350.58,1100
