Theme,Sub Theme,Name,Latitude,Longitude
Transport,Railway Station,Flemington Bridge Railway Station,-37.78816459,144.9392778
Mixed Use,Retail/Office/Carpark,Council House 2 (CH2),-37.81425914,144.9666384
Place Of Assembly,Library,The Melbourne Athenaeum Library,-37.81488558,144.9672913
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,-37.80606846,144.9712665
Place of Worship,Church,St Francis Church,-37.81188478,144.9624226
Place of Worship,Church,Wesley Church,-37.81015764,144.9681682
Place of Worship,Church,St Augustines Church,-37.81697414,144.954862
Place of Worship,Church,St James Church,-37.81012812,144.9524686
Place of Worship,Church,St Mary's Anglican Church,-37.80316637,144.9537615
Place of Worship,Church,Romanian Orthodox,-37.80523073,144.9669864
Place of Worship,Church,Welsh Presbyterian Church,-37.81044788,144.9598733
Place of Worship,Church,Church of Christ,-37.81045241,144.9638892
Place of Worship,Church,Scots Church,-37.81456878,144.9685511
Place of Worship,Church,St Michael's Uniting Church,-37.81438513,144.969174
Place of Worship,Church,Greek Orthodox Church,-37.80880647,144.9782591
Place of Worship,Church,St Peter's Eastern Hill,-37.80970867,144.9752592
Place of Worship,Church,Lutheran Trinity Church,-37.81097571,144.9757295
Place of Worship,Church,Holy Trinity,-37.81406671,144.9831973
Place of Worship,Church,St Johns Lutheran Church,-37.82093997,144.9671211
Place of Worship,Church,North Melbourne Uniting,-37.80355385,144.9476715
Place of Worship,Church,Melbourne Unitarian Church,-37.81144878,144.9846649
Place of Worship,Church,All Nations Uniting Church,-37.79591553,144.9689811
Place of Worship,Church,Our Lady of Lebanon Church,-37.80257665,144.9693347
Place of Worship,Church,St Michaels,-37.79405127,144.9453995
Place of Worship,Church,Ukranian Catholic Cathedral,-37.79630846,144.9443135
Place of Worship,Church,St Alban Anglican Church,-37.79421695,144.9416145
Place of Worship,Church,Christ Church Kensington,-37.79321095,144.9272957
Place of Worship,Church,Holy Rosary,-37.79480874,144.9283621
Place of Worship,Church,Collins Street Baptist Church,-37.81470119,144.9680725
Place of Worship,Church,St Thomas Aquinas Church,-37.83530769,144.9768091
Place of Worship,Church,South Yarra Presbyterian Church,-37.84074736,144.985627
Place of Worship,Church,The Parish of Christ Church South Yarra,-37.83862705,144.9860094
Health Services,Private Hospital,Melbourne Private Hospital,-37.79831113,144.9572884
Place of Worship,Synagogue,East Melbourne Synagogue,-37.80911373,144.9742219
Community Use,Police Station,Victoria Police,-37.8164849,144.9664868
Community Use,Police Station,Victoria Police,-37.80031213,144.9546975
Community Use,Police Station,Victoria Police,-37.82197739,144.953398
Community Use,Visitor Centre,Melbourne Visitor Booth,-37.81395251,144.9644259
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,-37.785786,144.947581
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),University Square,-37.80041071,144.9603983
Transport,Transport Terminal,Port of Melbourne,-37.81373844,144.9175343
Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,-37.78191713,144.9563091
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,-37.81169299,144.9872757
Community Use,Cemetery,Melbourne General Cemetery,-37.789189,144.965786
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,-37.78408644,144.9619678
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,-37.78343039,144.9619826
Retail,Retail,Queen Victoria Market,-37.8075002,144.9571585
Education Centre,Primary Schools,Carlton Gardens Primary School,-37.80209538,144.9694063
Education Centre,Primary Schools,Carlton Primary School,-37.79590798,144.9701473
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,-37.80176908,144.9719976
Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,-37.80776441,144.9654639
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,-37.82552398,144.9741079
Education Centre,Secondary Schools,Melbourne Grammar School,-37.8342561,144.976285
Education Centre,School - Primary and Secondary Education,Wesley College,-37.84852018,144.9822278
Place Of Assembly,Theatre Live,FairFax Studio,-37.82166846,144.9688362
Place Of Assembly,Theatre Live,Playhouse,-37.82181246,144.9683378
Place Of Assembly,Theatre Live,State Theatre,-37.82128063,144.9684696
Education Centre,Tertiary (University),University of Melbourne (VCA and Music),-37.82411377,144.9693325
Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,-37.83524295,144.9811422
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,-37.79080826,144.912143
Transport,Railway Station,Southern Cross Railway Station,-37.81816331,144.9529447
Place Of Assembly,Theatre Live,Princess Theatre,-37.81072571,144.9723266
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,-37.81439936,144.9759523
Education Centre,Secondary Schools,University High School,-37.79731362,144.9560344
Community Use,Public Buildings,State Library Victoria,-37.80998522,144.9643303
Place Of Assembly,Theatre Live,Regent Theatre,-37.81600147,144.9679167
Mixed Use,Retail/Office,Treasury Reserve,-37.81291788,144.9752368
Office,Office,Old Treasury Building,-37.81323717,144.9744236
Health Services,Private Hospital,Epworth Freemasons Hospital : Medical Centre,-37.80934446,144.9823368
