start_date,station_na,charging_t,energy_kwh,address_1,address_2,city,state_prov,zip_postal,fee,model_numb,latitude,longitude,location
2022-05-31T21:40:01Z,TOWN OF CARY / TOWN HALL-PWH,2:08:42,13.081,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-05-31T10:55:50Z,TOWN OF CARY / TOWN HALL-PWH,8:56:09,28.915,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-05-31T11:31:43Z,TOWN OF CARY / TOWN HALL-PWH,0:43:03,4.336,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-05-30T17:18:28Z,TOWN OF CARY / BOND PARK BH,0:47:09,2.748,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-05-30T11:32:14Z,TOWN OF CARY / TOWN HALL-PWH,2:14:40,13.709,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-05-29T20:08:50Z,TOWN OF CARY / TOWN HALL-PWH,1:09:05,6.834,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-05-29T14:05:50Z,TOWN OF CARY / BOND PARK BH,0:25:44,1.447,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-05-29T11:55:36Z,TOWN OF CARY / BOND PARK BH,1:26:42,5.074,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-05-29T00:45:27Z,TOWN OF CARY / DT DECK P2 (2),0:48:08,2.349,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.7797010000 35.7853850000)
2022-05-28T20:01:35Z,TOWN OF CARY / BOND PARK BH,4:54:54,36.133,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-05-28T22:37:38Z,TOWN OF CARY / DT DECK P2 (2),1:54:11,6.088,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.7797010000 35.7853850000)
2022-05-28T22:38:35Z,TOWN OF CARY / BOND PARK BH,0:39:53,4.827,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-05-28T21:05:27Z,TOWN OF CARY / DT DECK P2 (2),0:00:03,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.7797010000 35.7853850000)
2022-05-28T15:24:20Z,TOWN OF CARY / BOND PARK BH,2:02:35,14.563,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-05-28T11:25:13Z,TOWN OF CARY / TOWN HALL-PWH,0:10:16,0.997,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-05-27T10:22:10Z,TOWN OF CARY / BOND PARK BH,0:33:09,2.08,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-05-27T01:22:09Z,TOWN OF CARY / DT DECK P2 (2),0:53:26,2.712,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.7797010000 35.7853850000)
2022-05-26T22:27:57Z,TOWN OF CARY / TOWN HALL-PWH,1:22:07,8.23,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-05-26T22:12:37Z,TOWN OF CARY / BOND PARK BH,0:05:50,0.662,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-05-26T20:21:01Z,TOWN OF CARY / BOND PARK BH,0:30:07,3.67,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-05-26T20:02:22Z,TOWN OF CARY / DT DECK P4,0:08:29,0.806,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.783203,-78.779366,POINT(-78.7793660000 35.7832030000)
2022-05-26T15:44:51Z,TOWN OF CARY / BOND PARK BH,1:12:14,7.534,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
