,Station Name,Address  1,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select,latitude,longitude,evstations_count,hospitals_count,parks_count,restaurants_count,url
0,COA FLEET - PIE / BARTON #2,505 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Municipal,J1772,240V,J1772,"30.256936, -97.749284",$4.17/month PIE members $2/hr Non-Members,40A,30.256936, -97.749284,20,0,20,20,"https://www.google.com/maps/place/30.256936, -97.749284"
1,COA FLEET - PIE / ROOF 2,625 E 10th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Municipal,NEMA 5-20R,240V,J1772,"30.2696, -97.73477",$4.17/month PIE members $2/hr Non-Members,40A,30.2696, -97.73477,20,2,17,20,"https://www.google.com/maps/place/30.2696, -97.73477"
2,HPI 3700 / 3900 SC 4,3900 N Capital of Texas Hwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.337935, -97.808041",$4.17/month PIE members $2/hr Non-Members,40A,30.337935, -97.808041,3,0,0,6,"https://www.google.com/maps/place/30.337935, -97.808041"
3,HPE AUSTIN / TXN04 A,14231 Tandem Blvd,Austin,Texas,78728,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.445476, -97.690074",$4.17/month PIE members $2/hr Non-Members,40A,30.445476, -97.690074,1,0,8,17,"https://www.google.com/maps/place/30.445476, -97.690074"
4,NATIONAL INSTRU / 5&6,11500 N Mopac Expy,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.408705, -97.725377",$4.17/month PIE members $2/hr Non-Members,40A,30.408705, -97.725377,20,0,7,20,"https://www.google.com/maps/place/30.408705, -97.725377"
5,LADERA BEND / BUILDING 3,6585-6621 Jester Blvd,Austin,Texas,78750,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.371215, -97.800887",$4.17/month PIE members $2/hr Non-Members,40A,30.371215, -97.800887,4,0,3,7,"https://www.google.com/maps/place/30.371215, -97.800887"
6,CZPROPERTIES / FLOOR 2 UNIT 1,1400 Lavaca St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.276924, -97.74264",$4.17/month PIE members $2/hr Non-Members,40A,30.276924, -97.74264,20,2,19,20,"https://www.google.com/maps/place/30.276924, -97.74264"
7,COA FLEET - PIE / TOOMEY #2,1501-1615 Toomey Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.263716, -97.759239",$4.17/month PIE members $2/hr Non-Members,40A,30.263716, -97.759239,20,0,19,20,"https://www.google.com/maps/place/30.263716, -97.759239"
8,CATHERINE / CATHERINE 1,300 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.259096, -97.747775",$4.17/month PIE members $2/hr Non-Members,40A,30.259096, -97.747775,20,0,20,20,"https://www.google.com/maps/place/30.259096, -97.747775"
9,PIE AE / HOWSONBRCHLIBR2,2500 Exposition blvd,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,J1772,240V,J1772,"30.298396, -97.767903",$4.17/month PIE members $2/hr Non-Members,40A,30.298396, -97.767903,3,0,6,2,"https://www.google.com/maps/place/30.298396, -97.767903"
