start_date,station_name,charging_time_hh_mm_ss,energy_kwh,address_1,address_2,city,state_province,zip_postal_code,fee,model_number,latitude,longitude,geopoint
2022-03-31T23:55:44+00:00,TOWN OF CARY / DT DECK P2 (2),2:34:03,9.417,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-30T22:31:38+00:00,TOWN OF CARY / DT DECK P2 (2),1:23:33,8.708,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-30T17:09:49+00:00,TOWN OF CARY / BOND PARK BH,1:13:00,4.394,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-30T13:41:38+00:00,TOWN OF CARY / DT DECK P2 (2),1:14:07,6.926,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-30T13:15:23+00:00,TOWN OF CARY / BOND PARK BH,0:31:06,1.725,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-30T13:32:27+00:00,TOWN OF CARY / TOWN HALL-PWH,0:00:00,0,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-29T21:31:34+00:00,TOWN OF CARY / BOND PARK BH,0:11:05,1.213,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-29T15:54:48+00:00,TOWN OF CARY / DT DECK P2 (2),3:13:45,10.66,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-28T14:08:13+00:00,TOWN OF CARY / DT DECK P2 (2),5:39:42,34.995,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-28T20:25:01+00:00,TOWN OF CARY / BOND PARK BH,1:02:45,6.763,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-28T14:05:29+00:00,TOWN OF CARY / DT DECK P2 (2),1:18:36,6.707,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-28T13:15:21+00:00,TOWN OF CARY / DT DECK P2 (1),2:02:50,6.868,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-03-26T23:07:41+00:00,TOWN OF CARY / BOND PARK BH,0:48:37,5.845,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-26T20:11:37+00:00,TOWN OF CARY / DT DECK P2 (2),2:14:20,14.08,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-26T18:59:15+00:00,TOWN OF CARY / BOND PARK BH,0:30:19,3.274,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-26T13:14:34+00:00,TOWN OF CARY / BOND PARK BH,0:58:48,3.375,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-25T21:14:58+00:00,TOWN OF CARY / DT DECK P2 (1),2:38:52,10.225,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-03-24T21:28:28+00:00,TOWN OF CARY / TOWN HALL-PWH,0:43:00,2.551,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-22T20:20:29+00:00,TOWN OF CARY / TOWN HALL-PWH,0:45:16,4.612,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-21T17:44:46+00:00,TOWN OF CARY / BOND PARK BH,2:08:23,13.51,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-20T15:59:16+00:00,TOWN OF CARY / DT DECK P2 (1),2:55:11,9.003,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-03-20T19:45:25+00:00,TOWN OF CARY / BOND PARK BH,3:06:43,9.944,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-20T19:22:07+00:00,TOWN OF CARY / BOND PARK BH,3:45:26,26.489,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
