Name,Address,Latitude,Longitude,CHAdeMO,CCS, Mennekes (Type 2),Tesla Supercharger,Wall Outlet ,Status,Cost ($/kWh)
Hobsons Bay Civic Centre,"115 Civic Parade, Altona VIC 3018, Australia",-37.86361164,144.8310105,1,1,,,,Out of Order,
Ampol Foodary Altona North,"1 Horsburgh Drive, Altona North, VIC 3025, Australia",-37.84646146,144.8088603,2,2,,,,Coming Soon,
Middy’s Port Melbourne,"2 Thackray Rd, Port Melbourne VIC 3207, Australia",-37.82788423,144.9262572,1,1,,,,Active,0.4
Shell Taylors Lakes,"Coles Express 410 Melton Highway, Taylors Lakes VIC 3038, Australia",-37.69671193,144.7823411,2,2,,,,Active,0.6
Westfield Airport West,"29-35 Louis St, Airport West VIC 3042, Australia",-37.71395622,144.8860831,2,6,,,,Active,0.4
Moonee Ponds Supercharger,"665 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",-37.76556152,144.9236774,,,,6,,Active,
CB Smith Reserve,99 Jukes Road Fawkner VIC 3060 AU,-37.70191464,144.9681533,1,1,,,,Active,
Boundary Rd Parking Lot,"11 Boundary Rd, Coburg North VIC 3058, Australia",-37.71912127,144.9615062,1,1,,,,Active,
Coburg Town Hall / Moreland City,"90 Bell St, Coburg VIC 3058, Australia",-37.74058156,144.9694655,1,1,1,,,Active,
Edward St Parking Lot,"15 Edward St, Brunswick VIC 3056, Australia",-37.77360197,144.9618831,2,2,2,,,Active,
Collingwood Library,"13 Stanton St, Abbotsford VIC 3067, Australia",-37.80425886,144.9932374,2,2,,,,Active,0.4
Melbourne Richmond Supercharger,"650 Church St, Cremorne VIC 3121, Australia",-37.83170783,144.9965223,,,,4,,Active,
Uni Hill Town Centre,"Shop 17/5 Janefield Dr, Bundoora VIC 3083, Australia",-37.68247053,145.0710002,2,2,,,,Active,0.4
Corsair Solutions,"370 Darebin Rd, Thornbury VIC 3071, Australia",-37.76693229,145.0308257,,2,,,,Active,0.4
Collingwood Library,"20 William St, Hawthorn VIC 3122, Australia",-37.82022948,145.0402257,1,1,,,,Active,
Camberwell Supercharger,"793 Burke Road , Camberwell, VIC, Australia, 3124",-37.82867623,145.0564007,,,,6,,Active,
Wanzl / Rectifier Technologies,"97 Highbury Rd, Burwood VIC 3125, Australia",-37.85392974,145.1043512,,1,,,,Active,
Monash University Caulfield Car Park,"880 Princes Hwy Service Rd, Caulfield East VIC 3145, Australia",-37.87579762,145.0436391,1,1,,,1,Active,
Monash University Clayton - Car Park N1,"10 Research Way, Clayton VIC 3168, Australia",-37.90797166,145.1312195,1,1,2,,,Active,
Porsche Centre Brighton,"855 Nepean Hwy, Bentleigh VIC 3204, Australia",-37.92549673,145.0278825,1,,,,,Active,
Bayside City Council,"76 Royal Ave, Sandringham VIC 3191, Australia",-37.95950238,145.0169255,1,1,,,,Active,0.2
EVolution HQ,"Unit 32, 231 Osborne Avenue, Clayton South VIC 3169, Australia",-37.94260024,145.1197763,1,1,2,,,Active,
Ampol Dandenong Stud Road,"Corner Stud And, Heatherton Rd, Dandenong VIC 3175, Australia",-37.97092578,145.2235052,2,2,,,,Active,0.6
Chelsea Swansea Road Car Park,"1 Swansea Rd, Chelsea 3196, Australia",-38.05485257,145.1166042,2,2,,,,Active,0.4
Mornington Supercharger,"75 Mornington-Tyabb Rd, Mornington VIC 3931, Australia",-38.23425677,145.0514638,,,,6,,Active,0.6
Sorrento Community Centre,"860 Melbourne Rd, Sorrento VIC 3943, Australia",-38.33811816,144.7372775,2,2,,,,Active,0.4
Cobblebank Stadium,"Astley Dr, Bridge Rd, Strathtulloh VIC 3338, Australia",-37.71596946,144.5972922,1,1,,,,Active,
McDonald’s Melton South,"179-253 Exford Rd, Weir Views VIC 3338, Australia",-37.72198498,144.5729271,2,2,,,,Active,
CTR Whittlesea,"74A Church St, Whittlesea VIC 3757, Australia",-37.51043222,145.11856,1,1,,,,Active,0.4
