Created;Station ID;Station name;Start time;Stop time;Duration;Energy (Wh);Plug type;Cumulative energy (Wh);Colonna1
01/01/2019 01.47;1100;Puutarhakatu 4;01/01/2019 01.47;01/01/2019 01.47;1;0;AC;0;0
01/01/2019 14.40;1100;Puutarhakatu 4;01/01/2019 14.40;01/01/2019 15.44;64;3270;AC;3270;3065.625
02/01/2019 07.34;1140;Hämeenkatu 8;02/01/2019 07.34;02/01/2019 11.55;262;6460;AC;9730;1479.389313
02/01/2019 09.30;1100;Puutarhakatu 4;02/01/2019 09.30;02/01/2019 11.07;97;4880;AC;14610;3018.556701
02/01/2019 13.06;1100;Puutarhakatu 4;02/01/2019 13.06;02/01/2019 13.22;17;870;AC;15480;3070.588235
02/01/2019 13.34;3022;Turun linja-autoasema;02/01/2019 13.34;02/01/2019 14.26;52;2560;AC;18040;2953.846154
02/01/2019 13.36;1100;Puutarhakatu 4;02/01/2019 13.36;02/01/2019 16.58;203;6580;AC;24620;1944.827586
02/01/2019 14.28;1086;Turun linja-autoasema;02/01/2019 14.28;02/01/2019 14.28;1;0;AC;24620;0
02/01/2019 14.32;1138;Hämeenkatu 8;02/01/2019 14.32;02/01/2019 15.01;29;1600;AC;26220;3310.344828
02/01/2019 14.34;1086;Turun linja-autoasema;02/01/2019 14.34;04/01/2019 17.10;3037;0;AC;26220;0
02/01/2019 16.09;1126;ABC Tammisilta;02/01/2019 16.09;02/01/2019 16.37;28;10513;DC;36733;22527.85714
02/01/2019 17.23;1126;ABC Tammisilta;02/01/2019 17.23;02/01/2019 17.31;9;5611;DC;42344;37406.66667
02/01/2019 17.33;1126;ABC Tammisilta;02/01/2019 17.33;02/01/2019 17.41;8;5709;DC;48053;42817.5
02/01/2019 18.59;1100;Puutarhakatu 4;02/01/2019 18.59;03/01/2019 13.13;1094;78700;AC;126753;4316.270567
02/01/2019 19.41;3023;Turun linja-autoasema;02/01/2019 19.41;02/01/2019 20.49;69;25510;DC;152263;22182.6087
03/01/2019 05.05;3022;Turun linja-autoasema;03/01/2019 05.05;03/01/2019 11.46;401;27043;AC;179306;4046.334165
03/01/2019 08.07;1140;Hämeenkatu 8;03/01/2019 08.07;03/01/2019 11.57;231;6450;AC;185756;1675.324675
03/01/2019 09.12;1138;Hämeenkatu 8;03/01/2019 09.12;03/01/2019 09.12;1;0;AC;185756;0
03/01/2019 11.57;3022;Turun linja-autoasema;03/01/2019 11.57;03/01/2019 12.15;19;619;AC;186375;1954.736842
03/01/2019 12.11;2652;Puistokatu 10;03/01/2019 12.11;03/01/2019 13.47;97;0;AC;186375;0
03/01/2019 12.18;3022;Turun linja-autoasema;03/01/2019 12.18;03/01/2019 12.21;4;0;AC;186375;0
03/01/2019 12.22;3022;Turun linja-autoasema;03/01/2019 12.22;03/01/2019 12.29;8;0;AC;186375;0
03/01/2019 12.31;3022;Turun linja-autoasema;03/01/2019 12.31;03/01/2019 12.33;3;0;AC;186375;0
03/01/2019 12.35;3022;Turun linja-autoasema;03/01/2019 12.35;03/01/2019 12.39;5;31;AC;186406;372
03/01/2019 13.08;3022;Turun linja-autoasema;03/01/2019 13.08;03/01/2019 13.11;3;0;AC;186406;0
03/01/2019 15.09;2501;Stedingkinkatu 2;03/01/2019 15.09;03/01/2019 17.39;151;0;AC;186406;0
03/01/2019 15.53;4667;Logomo;03/01/2019 15.53;03/01/2019 15.55;3;0;AC;186406;0
03/01/2019 18.53;3022;Turun linja-autoasema;03/01/2019 18.53;03/01/2019 20.21;89;17202;AC;203608;11596.85393
03/01/2019 19.19;2652;Puistokatu 10;03/01/2019 19.19;03/01/2019 19.25;7;0;AC;203608;0
03/01/2019 21.00;3023;Turun linja-autoasema;03/01/2019 21.00;03/01/2019 21.01;1;113;DC;203721;6780
03/01/2019 21.02;3023;Turun linja-autoasema;03/01/2019 21.02;03/01/2019 21.19;18;7232;DC;210953;24106.66667
03/01/2019 22.00;1126;ABC Tammisilta;03/01/2019 22.00;03/01/2019 23.09;70;34300;DC;245253;29400
04/01/2019 07.53;1140;Hämeenkatu 8;04/01/2019 07.53;04/01/2019 12.09;256;5710;AC;250963;1338.28125
04/01/2019 08.07;1138;Hämeenkatu 8;04/01/2019 08.07;04/01/2019 12.24;258;6300;AC;257263;1465.116279
04/01/2019 08.10;2501;Stedingkinkatu 2;04/01/2019 08.10;04/01/2019 10.57;168;0;AC;257263;0
04/01/2019 08.34;1100;Puutarhakatu 4;04/01/2019 08.34;04/01/2019 12.14;220;6790;AC;264053;1851.818182
04/01/2019 12.00;3022;Turun linja-autoasema;04/01/2019 12.00;04/01/2019 12.36;37;2123;AC;266176;3442.702703
04/01/2019 12.31;1140;Hämeenkatu 8;04/01/2019 12.31;04/01/2019 15.26;175;4910;AC;271086;1683.428571
04/01/2019 13.50;1100;Puutarhakatu 4;04/01/2019 13.50;04/01/2019 17.45;236;5790;AC;276876;1472.033898
04/01/2019 16.38;4667;Logomo;04/01/2019 16.38;04/01/2019 17.31;54;2950;AC;279826;3277.777778
04/01/2019 17.11;2652;Puistokatu 10;04/01/2019 17.11;04/01/2019 18.55;104;5210;AC;285036;3005.769231
04/01/2019 17.28;4666;Logomo;04/01/2019 17.28;04/01/2019 21.39;252;3550;AC;288586;845.2380952
04/01/2019 18.38;6435;Turun Messukeskus;04/01/2019 18.38;04/01/2019 19.01;24;1419;AC;290005;3547.5
04/01/2019 18.57;1140;Hämeenkatu 8;04/01/2019 18.57;04/01/2019 19.58;61;3280;AC;293285;3226.229508
04/01/2019 19.24;1138;Hämeenkatu 8;04/01/2019 19.24;04/01/2019 21.55;152;6440;AC;299725;2542.105263
04/01/2019 19.38;3023;Turun linja-autoasema;04/01/2019 19.38;04/01/2019 19.38;1;39;DC;299764;2340
04/01/2019 19.39;3023;Turun linja-autoasema;04/01/2019 19.39;04/01/2019 20.24;45;19722;DC;319486;26296
05/01/2019 10.04;2653;Puistokatu 10;05/01/2019 10.04;05/01/2019 12.06;123;0;AC;319486;0
05/01/2019 11.33;3022;Turun linja-autoasema;05/01/2019 11.33;05/01/2019 11.34;1;0;AC;319486;0
05/01/2019 12.11;1086;Turun linja-autoasema;05/01/2019 12.11;05/01/2019 16.00;230;24350;AC;343836;6352.173913
05/01/2019 12.51;1100;Puutarhakatu 4;05/01/2019 12.51;05/01/2019 14.15;84;4580;AC;348416;3271.428571
05/01/2019 13.03;1126;ABC Tammisilta;05/01/2019 13.03;05/01/2019 13.34;31;12309;DC;360725;23823.87097
05/01/2019 13.48;3022;Turun linja-autoasema;05/01/2019 13.48;05/01/2019 13.53;5;19;AC;360744;228
05/01/2019 14.21;3022;Turun linja-autoasema;05/01/2019 14.21;05/01/2019 14.24;3;0;AC;360744;0
05/01/2019 15.18;2653;Puistokatu 10;05/01/2019 15.18;05/01/2019 16.11;54;2510;AC;363254;2788.888889
05/01/2019 16.32;1086;Turun linja-autoasema;05/01/2019 16.32;05/01/2019 16.33;1;0;AC;363254;0
05/01/2019 16.33;1086;Turun linja-autoasema;05/01/2019 16.33;05/01/2019 21.00;268;4510;AC;367764;1009.701493
06/01/2019 10.01;2653;Puistokatu 10;06/01/2019 10.01;06/01/2019 13.37;217;0;AC;367764;0
06/01/2019 11.19;3023;Turun linja-autoasema;06/01/2019 11.19;06/01/2019 11.31;12;1876;DC;369640;9380
06/01/2019 11.31;3022;Turun linja-autoasema;06/01/2019 11.31;06/01/2019 13.09;98;5373;AC;375013;3289.591837
06/01/2019 13.54;1100;Puutarhakatu 4;06/01/2019 13.54;06/01/2019 18.09;255;64760;AC;439773;15237.64706
06/01/2019 14.20;3023;Turun linja-autoasema;06/01/2019 14.20;06/01/2019 14.46;26;5103;DC;444876;11776.15385
06/01/2019 15.29;3022;Turun linja-autoasema;06/01/2019 15.29;06/01/2019 15.51;23;1299;AC;446175;3388.695652
