Island,Address,Zip Code,Facility,Parking Lot,Charger Location,Station Availability (Hours),Number of Chargers,Number of Ports,Charger Level,Charge Fee,Manufacturer,Notes
Island,"Street Adress
City, Hawaii Zip Code
",Zip Code,Facility,Parking Lot,Charger Location,Station Availability (Hours),Number of Chargers*,Number of Ports**,Charger Level,Charge Fee,Manufacturer,Notes
Oahu,"2295 North King Street
Honolulu, Hawaii 96819
(21.33549137449171, -157.8816364481399)",96819,Commercial,New City Nissan,3 charging stalls are located in front right of the building., 6:30am-8:00pm,3,3,2,Free for all Nissan Leafs,AeroVironment,Leafs only
Oahu,"100 Holomoana St.
Honolulu, Hawaii 96815
(21.286010676439616, -157.84029461445297)",96815,Hotel,Hawaii Prince Hotel,In level E of the parking garage,24/7,4,4,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Oahu,"3221 Waialae Ave
Honolulu, Hawaii 96816
(21.287044896773295, -157.80755929258643)",96816,Commercial,Kaimuki Shopping Center,Outdoor open lot,Mon-Fri 8:30am-5:00pm,1,2,2,Free until further notice,AeroVironment,
Oahu,"4450 Kapolei Parkway
Kapolei, Hawaii 96707
(21.328854377915434, -158.0914212979147)",96707,Commercial,Kapolei Commons,In the front parking near Down to Earth,7:00am-9:00pm,2,2,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Oahu,"2552 Kalakaua Avenue
Honolulu, Hawaii 96815
(21.272511852779814, -157.82323447555714)",96815,Hotel,Waikiki Beach Marriott,"One charger is on 3rd floor self parking garage, second charger is in valet",24/7,2,2,2,Free,AeroVironment,After parking use nearby phone and contact security who will use a motion key to start charger 
Oahu,"92-1185 Aliinui Drive
Kapolei, Hawaii 96707
(21.340239794806394, -158.12284360961843)",96707,Hotel,"Aulani A Disney Resort and Spa, Ko Olina","Parking garage 1, closest stalls to the elevator on two floors. ",24/7,12,12,"2, 3-fast","
",Charge Point,"12 chargers; Spaces 250-254, 393-397, and 498-499"
Hawaii,"74-5044 Ane Keohokalole Hwy
Kailua-Kona, Hawaii 96740
(19.650440000006142, -155.9799599996541)",96740,Commercial,West Hawaii Civic Center,1st floor of parking structure in covered structure,"7:45am-4:30pm Close first Fri of month and County observed holidays
",3,6,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Oahu,"330 Royal Hawaiian Avenue
Honolulu, Hawaii 96815
(21.28042588663766, -157.82819873315887)",96815,Commercial,DFS Waikiki Galleria,,9:00am-11:00pm,2,2,2,,AeroVironment,
Hawaii,"62-100 Kauna&rsquo;oa Dr
Kohala Coast, Hawaii 96743
(20.016599999890275, -155.7242700003601)",96743,Hotel,Hapuna Beach Prince Hotel,Valet,24/7,2,4,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Oahu,"1199 Auloa Road
Kailua, Hawaii 96734
(21.374324099716887, -157.77992312662604)",96734,Commercial,Whole Foods Kailua,Parking stall in front of entrance,7:00am-10:00pm,2,2,2,Free for up to 2 hours,Volta,
Maui,"170 Kaahumanu Avenue
Kahului, Hawaii 96732
(20.88967945812709, -156.47218299093976)",96732,Hotel,Maui Beach Hotel,"Must bring your own charger. Contact hotel about where to plug in. There are multiple restaurants, shops, Maui Arts & Culteral Center & Queen Kaahumanu Shopping Center within short walking distance from this charge spot.",,1,1,1,Free,,
Oahu,"1450 Ala Moana Blvd
Honolulu, Hawaii 96814
(21.289311188287115, -157.8421921839348)",96814,Commercial,Ala Moana Center,2 Charging stations are located in front of Genki Sushi. Take the Keeaumoku entrance up the ramp and turn right. Charging stations will be on the right. 2 chargers ground level right below,"Mall hours, 7:00am-9:30pm",4,8,2,Free,Better Place,
Hawaii,"Keahole International Airport
Kailua-Kona, Hawaii 96740
(19.650440000006142, -155.9799599996541)",96740,Commercial,National Car Rental Kona Airport,"Outside parking, side of the building","5:30am-11:30pm
",1,2,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Hawaii,"2450 Kekuanaoa St, Suite 215
Hilo, Hawaii 96720
(19.715577712536007, -155.04482733776695)",96720,Airport,Hilo International Airport,In parking lot close to terminal entrance,5:00am - 10:00pm,2,2,2,Free until further notice,,
Oahu,"2375 Ala Wai Blvd
Honolulu, Hawaii 96815
(21.279148849356034, -157.82297367216864)",96815,Hotel,Waikiki Sand Villa,Valet,24/7,1,1,2,Free to Hotel Guests - Non Guests/Bar Patrons $10.00 per session,Schneider Electric,
Oahu,"1801 Kalakaua Ave
Honolulu, Hawaii 96815
(21.29030943573963, -157.83557317379913)",96815,Commercial,Hawaii Convention Center,"In parking structure, Aisle B next to pedestrian walkway",,1,1,2,$2.00/hour,Eaton?,Pay at charging station. All major credit cards. 
Oahu,"94-1480 Moaniani St.
Waipahu, Hawaii 96797
(21.425325812664497, -157.99796942170946)",96797,Commercial,Kaiser Permanente Waipio,Enter the parking lot and continue towards the Ewa side of the main building. One pedestal charging station is next to the handicap stalls on the building side.,24/7,1,1,2,Free,Volta,
Oahu,"563 Kamoku Street
Honolulu, Hawaii 96826
(21.286347176348407, -157.82475281350472)",96826,School,Iolani School,Guest Stall,"9:00am-3:00pm the lot is reserved for school staff, after 3:00pm the lot is open to those attending special events at Iolani",2,2,2,Free,AeroVironment,
Maui,"4405 Honoapiilani Hwy
Kahana, Hawaii 96761
(20.97332540007227, -156.67669781362287)",96761,Commercial,Kahana Gateway,Charge spots located in the rear of the shopping center underneath the building down from the Shell Station and Kahana Koin-Op.,24/7,2,2,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Oahu,"95-1249 Meheula Pkwy
Mililani, Hawaii 96789
(21.453248200399102, -158.00784762085445)",96789,Commercial,Town Center of Mililani,In front of Baskin Robins,7:00am-10:00pm,2,2,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Oahu,"94-826 Ukee St
Waipahu, Hawaii 96797
(21.41153804528932, -157.99960051872316)",96797,Commercial,Aloha Island Mart Waipio-Gentry,"Special key FOB available in the store, give drivers license whenyou get fob, get license back when you return fob.",24/7,1,1,3-fast,Free,AeroVironment,
Oahu,"98-1005 Moanalua Rd (uptown)
Aiea, Hawaii
(21.385934347115153, -157.94082083088813)",,Commercial,Pearlridge Shopping Center (uptown),Uptown parking lot fronting the main food court entrance,"Mon-Sat 10:00am-9:00pm, Sun 10:00am-6:00pm",1,1,2,Free,Volta,
Oahu,"1288 Ala Moana Blvd
Honolulu, Hawaii 96814
(21.29181130352856, -157.84994433982735)",96814,Condo,Hokua Condominium,"On ground level of parking garage near loading dock
",6:00am-2:00am,2,2,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Oahu,"160 Ahui Street
Honolulu, Hawaii 96813
(21.293461524831603, -157.86003755519)",96813,Commercial,Kakaako Piano Lot Parking Facility,"Next to Children’s Discovery Center, right off Ahui st Ewa side of the lot",24/7,1,1,2,"$1.00 per session plus $1.00/hour.  
",Shorepower,
Oahu,"1956 Ala Moana Blvd
Honolulu, Hawaii 96815
(21.285526846034113, -157.83420892244482)",96815,Hotel,Double Tree by Hilton Alana Waikiki Hotel,Valet,24/7,2,2,2,"Hawaii
HECO Rates + Surcharge (TBD)
",ECOtality Blink,
Maui,"905 Mokuea Pl
Kahului, Hawaii 96732
(20.89439190556061, -156.44106644872596)",96732,Commercial,Alamo/National Kahului Airport,,24/7,1,2,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Oahu,"1525 Bernice St.
Honolulu, Hawaii 96817
(21.333122240610425, -157.86936304388902)",96817,Commecial,Bishop Museum,Charge Spot located in the rear parking area,"Wed-Mon 9:00am-5:00pm
",4,4,2,"Free, 4 hours at a time",Better Place,
Oahu,"1380 Lusitania street
Honolulu, Hawaii 96813
(21.308592652595337, -157.85289411608346)",96813,Commercial,Queen’s Physician Office Building,"1 charger at POB 1 lot on Lusitaina st. Main entry Makai side level 3, 2nd charger at Miller st garage across emergency room level B2 near cashiers booth",24/7,4,4,2,"Free until further notice, anticipated fee will be $2.00/hour",Coulomb,Parking valet will give you 1/2 off when fee begins
Hawaii,"62-100 Mauna Kea Beach
Kohala Coast, Hawaii 96743
(20.016599999890275, -155.7242700003601)",96743,Hotel,Mauna Kea Beach Resort,,"24/7
",2,4,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,Driver needs to pick up key from office at first right after parking to open gate.
Oahu,"590 Farrington Hwy
Kapolei, Hawaii 96707
(21.33845913718835, -158.0784440810319)",96707,Commercial,Kapolei Shopping Center,Between Longs and Safeway in front of Subway,"8:00am-10:00pm
",2,2,2,"Free until Dec 31st 2012, 4 hours at a time",Better Place,
Kauai,"2249 Poipu Road
Koloa, Hawaii 96720
(21.878627454871527, -159.46001758041845)",96720,Hotel,Marriott Waiohai Beach Club,Valet,,3,3,2,Pick up FOB from front desk,AeroVironment,
Oahu,"2255 Kalakaua Ave
Honolulu, Hawaii 96815
(21.278717174782003, -157.82857644841118)",96815,Hotel,Sheraton Waikiki,3rd floor parking garage,24/7,3,6,2,Charging stations free for hotel guest and patrons of the hotel with parking validation,,Need FOB key from front desk
