,Location Name,Address,Status,Description,Nearest charging station,Plugs_wall_AU/NZ,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Type2,KW_50,KW_22,Location_category ,Car_parking,Score,Contact_info,charging_stations,payment,location,latitude,longitude,evstations_count,hospitals_count,parks_count,restaurants_count,malls_count,url
0,Gatton,"Building 8156, The University of Queensland, Main Drive & Outer Ring Road, Gatton QLD 4343",Active,University of Queensland Gatton Veterinary Hospital carpark,"Toowoomba: 55km West, 
Brisbane: 92km East",1,1,1,1,0,0,1,1,Commercial,0,8.4,61-733652235,4,0.2,"-27.55140366,152.3350726",-27.55140366,152.3350726,2,0,2,3,0,"https://www.google.com/maps/place/-27.55140366,152.3350726"
1,Cairns,"1 Pier Point Rd, Cairns City QLD 4870, Australia",Active,Lagoon car park (between the Esplanade and Pier Point Rd),"The Pier Cairns: 0.1km, Pullman Reef Hotel Casino: 0.4km, Cairns Central: 0.7km",0,1,1,0,0,2,1,1,Public,1,10.0,61-1300480903,3,0.3,"-16.92045651,145.7788731",-16.92045651,145.7788731,6,8,13,20,17,"https://www.google.com/maps/place/-16.92045651,145.7788731"
2,Rockhampton,"172-189 Alma St, Rockhampton City QLD 4700, Australia",Active,Alma St carpark of council building.,"Coffee House Apartment: 0.1km, Rockhampton Car Park: 0.6km, Motel 98: 0.9km",0,1,1,0,0,2,1,1,Public,0,10.0,,3,0.2,"-23.38227211,150.5134619",-23.38227211,150.5134619,4,1,11,20,8,"https://www.google.com/maps/place/-23.38227211,150.5134619"
3,Coolangatta,"1 Eastern Ave, Bilinga 4225",Active,"Gold Coast Airport. Carparks near northbound second entrance off Gold Coast Highway, near amenities","Rydges Gold Coast Airport: 0.4km, Southern Cross University Gold Coast Campus: 0.6km, Tweed Heads Vegas Motel: 2.9km",0,1,1,0,0,2,1,1,Public,0,10.0,61-1300518038,3,0.3,"-28.16419699,153.5152736",-28.16419699,153.5152736,4,0,4,17,1,"https://www.google.com/maps/place/-28.16419699,153.5152736"
4,Hamilton,"North Shore Hamilton
281 MacArthur Ave, Hamilton QLD 4007",Active,"Eat St carpark, near roundabout at end of Macarthur Ave. Ultimate location will be at a new park created by closure of Curtin Ave West, close to Kingsford Smith Dr and Gateway Motorway (from 2019).","Eat St Northshore Car Park: 0.2km, Brisbane Airport: 3.2km, Liquid Laundry: 4.0km",0,2,2,0,0,2,1,1,Public,0,10.0,61-1300480903,5,0.3,"-27.44449167,153.0836111",-27.44449167,153.0836111,10,0,6,11,0,"https://www.google.com/maps/place/-27.44449167,153.0836111"
5,Maryborough,"102 Lennox St, Maryborough 4650",Active,"Lennox St (near Alice St), perpendicular car parks in front of government building","Square Shopping Centre Maryborough: 0km, Adelaide St Parking Lot: 0.4km",0,1,1,0,0,1,1,1,Public,0,10.0,61-1300480903,3,0.2,"-25.53982619,152.6991534",-25.53982619,152.6991534,2,1,14,20,6,"https://www.google.com/maps/place/-25.53982619,152.6991534"
6,Childers,"1-3 Crescent St, Childers QLD 4660, Australia",Active,"Crescent St, new dedicated carpark created near off-street caravan parking",Lake Redbrook Retreat Queensland: 8.7km,0,1,1,0,0,1,1,1,Public,0,10.0,61-1300480903,4,0.3,"-25.23560702,152.2788755",-25.23560702,152.2788755,1,1,8,15,0,"https://www.google.com/maps/place/-25.23560702,152.2788755"
7,Marlborough,"71209 Kunwarara Rd, Marlborough QLD 4705, Australia",Active,"Puma service station, south of Marlborough","Rockhampton: 98km South, 
Carmila: 136km North",0,1,1,0,0,2,1,1,Public,0,10.0,61-1300480903,3,0.2,"-22.82764427,149.9327796",-22.82764427,149.9327796,1,0,0,1,0,"https://www.google.com/maps/place/-22.82764427,149.9327796"
8,Mackay,"3 Gregory St, Mackay QLD 4740, Australia",Active,Council owned Carpark cnr Gregory and River Sts,"Riviera Mackay: 0.3km, Mackay Ocean Side Central Hotel: 2.0km",0,1,1,0,0,2,1,1,Public,1,10.0,61-1300480903,3,0.2,"-21.13971112,149.1852379",-21.13971112,149.1852379,3,2,9,20,15,"https://www.google.com/maps/place/-21.13971112,149.1852379"
9,Bowen,"80 Santa Barbara Parade, Bowen QLD 4805, Australia",Active,"Santa Barbara Pde, near tourist info building and toilets.","Bluewater Harbour Motel: 0.7km, Bowen Showgrounds: 3.2km, Rose Bay Resort: 3.4km",0,1,1,0,0,2,1,1,Public,0,10.0,61-1300480903,3,0.2,"-20.01660114,148.2480204",-20.01660114,148.2480204,1,1,9,17,3,"https://www.google.com/maps/place/-20.01660114,148.2480204"
