name,address,longitude,latitude,description,parking,pricing,contact,networks,total_plugs,renewable_power_supply,Plugs_CHAdeMO,Plugs_Tesla,Plugs_CCS_SAE,Plugs_J1772,Plugs_Type2,Plugs_Three_Phase,Plugs_Commando,Plugs_Wall_AU_NZ,Plugs_Caravan_Mains_Socket,Plugs_Other,power_outputs_kw,source,source_date
Tesla Destination Charger,"1 Goldie St, Wynyard",145.7352566,-40.9881523,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Electric Vehicle Charging Station,"Spring St, Burnie",145.9062926,-41.0560619,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"North Terrace, Burnie",145.907212,-41.0499348,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Electric Vehicle Charging Station,Park Grove,145.8800876,-41.0582222,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"39 Sice Ave, Heybridge",145.9890257,-41.07606699999999,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Supercharger,"Esplanade, East Devonport",146.3673277,-41.1800446,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"Fenton Way, Devonport",146.3600658,-41.1775198,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"3343 W Tamar Hwy, Sidmouth",146.87945,-41.239807,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"42 King St, Scottsdale",147.5146089,-41.162162,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"20 Main St, Waratah",145.526198,-41.442587,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"864 Claude Rd, Sheffield",146.2645437,-41.4320663,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"15 Paterson St, Launceston",147.1393681,-41.4359627,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"31 Elizabeth St, Launceston",147.1424769,-41.4390629,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"Galvin St, South Launceston",147.1417127,-41.4500994,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"2 Bridge Rd, Launceston",147.12888,-41.4403563,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
