name,address,longitude,latitude,description,parking,pricing,contact,networks,total_plugs,renewable_power_supply,Plugs_CCS_SAE,Plugs_CHAdeMO,Plugs_Caravan_Mains_Socket,Plugs_J1772,Plugs_Tesla,Plugs_Three_Phase,Plugs_Commando,Plugs_Type2,Plugs_Wall_AU_NZ,Plugs_Other,power_outputs_kw,source,source_date
Geelong Supercharger,"470-510 Princes Hwy, Geelong, VIC, Australia, 3214",144.382451,-38.065192,,,,61280152834,['Supercharger'],6,,0,0,0,0,6,0,,0,0,,[250.0],PlugShare_Scrape,20/08/2022
Penguin Parade Visitor's Centre,"995 Ventnor Road Summerlands VIC 3922, Australia",145.148488,-38.505496,,,,,['Non-networked'],2,,1,1,0,0,0,0,,0,0,,[25.0],PlugShare_Scrape,20/08/2022
Mornington Supercharger,"75 Mornington-Tyabb Rd, Mornington VIC 3931, Australia",145.051085,-38.234305,,,,61280152834,['Supercharger'],6,,0,0,0,0,6,0,,0,0,,[250.0],PlugShare_Scrape,20/08/2022
Kingston Village Square (DC Fast Charger),"Kingston Village Square, Grubb Rd, Ocean Grove VIC 3226, Australia",144.540122,-38.246677,,,,1300518038,['Chargefox'],4,,1,1,0,0,0,0,,2,0,,"[50.0, 'unknown']",PlugShare_Scrape,20/08/2022
BIG4 Phillip Island Caravan Park,"24 Old Bridge Drive, Newhaven VIC 3925, Australia",145.35646,-38.516829,,,,0359567227,['Non-networked'],2,,0,0,1,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Sorrento Community Centre,"860 Melbourne Rd, Sorrento VIC 3943, Australia",144.737043,-38.33856,,,,,['Evie Networks'],8,,4,4,0,0,0,0,,0,0,,[50.065],PlugShare_Scrape,20/08/2022
CTR Whittlesea,"74A Church St, Whittlesea VIC 3757, Australia",145.118412,-37.51059,,,,611300463843,['Evie Networks'],4,,2,2,0,0,0,0,,0,0,,[50.065],PlugShare_Scrape,20/08/2022
Rye & Sorrento Camping,"1380 Point Nepean Rd Portsea VIC 3944, Australia",144.718201,-38.320637,,,,1300850600,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
McDonald’s Melton South,"179-253 Exford Rd, Weir Views VIC 3338, Australia",144.572251,-37.722801,,,,1300463843,['Evie Networks'],8,,4,4,0,0,0,0,,0,0,,[50.0],PlugShare_Scrape,20/08/2022
RACV Torquay Resort,"1 Great Ocean Road, Jan Juc, Victoria, Australia, VIC 3228",144.310815,-38.34035,,,,61352611600,"['Tesla Destination', 'Chargefox', 'Non-networked']",11,,4,4,0,1,2,0,,0,0,,"[350.0, 50.0, 'unknown', 6.0]",PlugShare_Scrape,20/08/2022
