name,latitude,longitude,address
Emporium Melbourne,-37.812214,144.963785,"287 Lonsdale St, Melbourne VIC 3000"
Royal Arcade,-37.814368,144.964103,"335 Bourke St, Melbourne VIC 3000"
The Clarendon Centre,-37.832392,144.960793,"261 Clarendon St, South Melbourne VIC 3205"
Melbourne Central,-37.810421,144.962962,"211 La Trobe St, Melbourne VIC 3000"
Homeplus+ Homemaker Centre,-37.877474,145.092644,"675-685 Warrigal Rd, Chadstone VIC 3148"
Barkly Square Shopping Centre,-37.775666,144.960872,"90-106 Sydney Rd, Brunswick VIC 3056"
Warringal Shopping Centre,-37.755783,145.068742,"56 Burgundy St, Heidelberg VIC 3084"
M-City,-37.920697,145.14038,"Cnr Dandenong and Blackburn Rds, M City Display Suite, Clayton VIC 3168"
Qv,-37.810806,144.96546,"3 Albert Coates La, Melbourne VIC 3000"
Moonee Ponds Central,-37.765996,144.922828,"14-16 Hall St, Moonee Ponds VIC 3039"
Springvale Homemaker Centre,-37.927701,145.14353,"917 Princes Hwy, Springvale VIC 3171"
Stockland Point Cook,-37.883294,144.735141,"Murnong St, Point Cook VIC 3030"
The Glen,-37.876263,145.165165,"235 Springvale Rd, Glen Waverley VIC 3150"
Highpoint Shopping Centre,-37.77288,144.888957,"200 Rosamond Rd, Maribyrnong VIC 3032"
Melbourne's GPO,-37.813841,144.963386,"350 Bourke St, Melbourne VIC 3000"
Burwood One Shopping Centre,-37.853603,145.149925,"210 Burwood Hwy, Burwood East VIC 3151"
Eastland,-37.813354,145.228914,"175 Maroondah Hwy, Ringwood VIC 3134"
Tunstall Square,-37.791213,145.171874,
Crown Entertainment Complex,-37.823345,144.957943,"8 Whiteman St, Southbank VIC 3006"
Westfield Southland,-37.958519,145.053721,"1239 Nepean Hwy, Cheltenham VIC 3192"
Westfield Knox,-37.868995,145.240171,"425 Burwood Hwy, Wantirna South VIC 3152"
Watervale Shopping Centre,-37.723217,144.751621,"2-14 Calder Park Dr (at Calder Park Drive), Taylors Hill VIC 3037"
Victoria Gardens Shopping Centre,-37.812202,145.010886,"620 Victoria St, Richmond VIC 3121"
Northland Shopping Centre,-37.738658,145.029539,"50 Murray Rd, Preston VIC 3072"
Summerhill Shopping Centre,-37.724707,145.028654,"850 Plenty Rd, Reservoir VIC 3073"
Westfield Fountain Gate,-38.017539,145.304087,"352 Princes Hwy, Narre Warren VIC 3805"
The District Docklands,-37.813769,144.938325,"440 Docklands Dr, Docklands VIC 3008"
Roxburgh Village,-37.639439,144.93238,"250 Somerton Rd, Roxburgh Park VIC 3064"
South Melbourne Central,-37.830794,144.957184,"111 Cecil St, South Melbourne VIC 3205"
Target Centre,-37.812738,144.966133,"253-267 Bourke St, Melbourne VIC 3000"
Craigieburn Central,-37.593154,144.913727,"330 Craigieburn Rd, Craigieburn VIC 3064"
Collins Place,-37.81415,144.972441,"45 Collins St, Melbourne VIC 3000"
Home HQ Nunawading,-37.818991,145.179699,"372-394 Whitehorse Rd, Nunawading VIC 3131"
Stockland Highlands,-37.574923,144.919329,"Aitken Bvd, Craigieburn VIC 3064"
Waverley Gardens Shopping Centre,-37.935546,145.19017,"271 Police Rd, Mulgrave VIC 3170"
Collins234 Boutique Place,-37.815457,144.965763,"234 Collins St, Melbourne VIC 3000"
Galleria,-37.814809,144.962907,"385 Bourke St, Melbourne VIC 3000"
Midtown Melbourne,-37.813154,144.965682,"Cnr Bourke & Swanston Sts, Melbourne VIC 3000"
Capitol Theatre,-37.815106,144.966182,"113 Swanston St, Melbourne VIC 3000"
206 Bourke Street,-37.812813,144.967073,"206 Bourke St, Melbourne VIC 3000"
Pacific Epping,-37.653915,145.018461,"571-583 High St, Epping VIC 3076"
Box Hill Central,-37.818401,145.121976,"1 Main St, Box Hill VIC 3128"
Westfield,-37.651251,145.071808,"415 McDonalds Rd, Mill Park VIC 3082"
Broadmeadows Central,-37.679888,144.919585,"1169 Pascoe Vale Rd, Broadmeadows VIC 3047"
North Blackburn Shopping Centre,-37.812112,145.152779,"104 Springfield Rd, Blackburn VIC 3130"
670 Chapel,-37.837411,144.99637,"670 Chapel St, South Yarra VIC 3141"
Oakleigh Central,-37.900929,145.090348,"39 Hanover St, Oakleigh VIC 3166"
Sanctuary Lakes Shopping Centre,-37.895635,144.753127,"300 Point Cook Rd, Point Cook VIC 3030"
Woodgrove Shopping Centre,-37.68591,144.564439,"533-555 High St, Melton VIC 3337"
Campbellfield Plaza,-37.688549,144.959467,"Hume Hwy & Mahoney's Rd, Campbellfield VIC 3061"
Footscray Plaza Pharmacy,-37.800978,144.897658,"7 Footscray Plaza, Footscray VIC 3011"
Sushi Sushi Malvern Central,-37.862927,145.027187,"110-122 Wattletree Rd, Malvern VIC 3144"
The Jam Factory,-37.842617,144.996073,"500 Chapel St, South Yarra VIC 3141"
Pacific Werribee,-37.875789,144.680244,"Derrimut Rd, Hoppers Crossing VIC"
Riverdale Village Shopping Centre,-37.834432,144.651458,"200 Hummingbird Bvd, Tarneit VIC 3029"
Boardwalk Central Shopping Centre,-37.892851,144.728493,"48-56 Tom Roberts Pde (Boardwalk Boulevard), Point Cook VIC 3030"
Central Square Shopping Centre,-37.871171,144.772034,"1 Central Ave, Altona Meadows VIC 3028"
Watergardens,-37.699808,144.77588,"399 Melton Hwy, Taylors Lakes VIC 3038"
Hogans Corner Shopping Centre,-37.862001,144.686157,"262-264 Derrimu Rd, Hoppers Crossing VIC 3029"
Alma Ave Fish & Chips & Pizza Shop,-37.868959,144.783396,"42 Alma Ave, Altona Meadows VIC 3028"
Hoppers Crossing Shopping Centre,-37.881148,144.703667,"50 Old Geelong Rd, Hoppers Crossing VIC 3029"
Wyndham Village Shopping Centre,-37.849521,144.705204,"380 Sayers Rd, Tarneit VIC 3029"
Food Works - Dallas Shopping Centre,-37.672664,144.930643,"Blair St, Dallas VIC 3047"
Cobblebank Village Shopping Centre,-37.71393,144.60188,"Ferris Rd (Coach Rd), Cobblebank VIC 3338"
Caroline Centre Central,-37.732457,144.741592,"13-19 Lake St, Caroline Springs VIC 3023"
Westfield,-37.713876,144.885579,"29-35 Louis St, Airport West VIC 3042"
Derrimut Village Shopping Centre,-37.783507,144.771521,"20 Mount Derrimut Rd, Deer Park VIC 3023"
Greenvale Shopping Centre,-37.639382,144.881909,"1 Greenvale Dr, Greenvale VIC 3059"
Taylors Hill Village,-37.71079,144.740961,"Taylors Hill Bvd, Taylors Hill VIC 3037"
Delahey Village,-37.726145,144.780768,"Taylors Rd (at Taylors Rd), Delahey VIC 3037"
TSG Westfield Geelong,-38.146505,144.362627,"95 Malop St, Geelong VIC 3220"
Home Consortium Braybrook,-37.778286,144.850845,"330 Ballarat Rd, Braybrook VIC 3019"
