name,latitude,longitude,address
Melbourne Cricket Ground (MCG),-37.819876,144.983414,"Brunton Ave, Melbourne VIC 3002"
Fitness First Flinders Street,-37.817785,144.965099,"276 Flinders St, Melbourne VIC 3000"
Flemington Racecourse,-37.787776,144.909992,"400 Epsom Rd, Flemington VIC 3031"
Fitness First Platinum,-37.810466,144.963103,"La Trobe St, Melbourne VIC"
Ashburton Pool & Recreation Centre,-37.866695,145.085251,"8 Warner Ave, Ashburton VIC 3147"
O'Brien Group Arena,-37.812152,144.935949,"105 Pearl River Rd, Docklands VIC 3008"
Goodlife Health Clubs Prahran,-37.848497,144.994139,"286 Chapel St, Prahran VIC 3181"
Melbourne Sports & Aquatic Centre,-37.843263,144.961518,"Aughtie Dr, Albert Park VIC 3206"
Barry's Bootcamp South Yarra,-37.839441,144.996179,"Toorak Rd, South Yarra VIC 3141"
State Netball & Hockey Centre,-37.78596,144.947954,"10 Brens Dr, Parkville VIC 3052"
MCC Hockey Ground,-37.836595,144.99498,
Train 24/7 Fitness,-37.852373,144.998578,"317 High St, Prahran VIC 3181"
National Tennis Centre,-37.823236,144.983504,"National Tennis Centre Batman Ave, Melbourne VIC 3000"
Fitness First St Kilda,-37.862122,144.993667,"97 Alma Rd, St Kilda VIC 3182"
"Momentum Performance Training, Port Melbourne",-37.841451,144.939429,"59 Bay St, Port Melbourne VIC 3207"
Melbourne Unique Badminton Centre,-37.896952,145.140928,"88 Ricketts Rd, Mount Waverley VIC 3149"
Tan Track,-37.981563,145.205588,"Birdwood Ave (Domain Rd), Melbourne VIC 3004"
Virgin Active Collins Street,-37.818845,144.955773,"567 Collins St, Melbourne VIC 3000"
Next Gen Doncaster,-37.787355,145.113549,"473 Doncaster Rd, Doncaster VIC 3108"
Yarra Bend Golf Course,-37.7972,145.011139,"Yarra Bend Rd, Melbourne VIC 3078"
East Keilor Leisure Centre,-37.739065,144.870562,"Quinn Gr, Melbourne VIC 3033"
Brimbank Aquatic and Wellness Centre,-37.727821,144.804977,"90 Taylors Rd, Keilor Downs VIC 3038"
Legoland Discovery Centre,-37.884908,145.08307,"1341 Dandenong Rd, Chadstone VIC 3148"
Aqualink Box Hill,-37.826271,145.117604,"Surrey Dr (Canterbury Rd), Box Hill VIC 3128"
Goodlife Health Clubs Glen Iris,-37.85838,145.041422,"1438 High St, Glen Iris VIC 3146"
Goodlife Health Clubs Wantirna,-37.85418,145.216647,"141 Mountain Hwy (Barmah Drive), Wantirna VIC 3152"
Olympic Ice Skating Centre,-37.925631,145.093635,"1080 Centre Rd, Oakleigh South VIC 3167"
Aquarena,-37.773907,145.123963,"139-153 Williamsons Rd, Templestowe Lower VIC 3108"
Shadow's Gym,-37.721357,145.140817,"23 Susan St, Eltham VIC 3095"
Wattle Park Golf Course,-37.839527,145.102911,"1012 Riversdale Rd, Melbourne VIC 3127"
Beaconhills Country Golf Club,-37.987316,145.420938,"Stoney Creek Rd, Beaconsfield VIC 3808"
Urban Climb Blackburn,-37.820072,145.15863,"33 Alfred St, Blackburn VIC 3130"
Fitness First Platinum,-37.786906,145.126349,"619 Doncaster Rd, Doncaster VIC 3108"
Mitcham Badminton,-37.815131,145.203598,"613 Whitehorse Rd, Mitcham VIC 3132"
Sportlink Multi-purpose Indoor Sports Facility,-37.853831,145.183316,"Hanover Rd, Vermont South VIC 3133"
Healthways Swim School,-37.822053,145.220072,"108-110 New St, Ringwood VIC 3134"
State Volleyball Centre,-37.964145,145.226753,Dandenong North VIC 3175
Badminton Connect,-37.909795,145.144132,"13 Duerdin St, Clayton VIC 3168"
Mornington Racecourse,-38.236355,145.069722,"320 Racecourse Rd, Mornington VIC 3931"
Caulfield Racecourse,-37.877752,145.038603,"Station St, Caulfield VIC 3162"
Star Fitness,-37.947516,145.081094,"24 Arco Ln, Heatherton VIC 3202"
Long Island Country Club,-38.119003,145.148841,"Frankston-Dandenong Rd, Frankston VIC 3200"
Bentleigh Fitness Centre,-37.909997,145.063755,"12 North Dr, Bentleigh East VIC 3165"
Revo Fitness,-37.958412,145.051209,"1239 Nepean Hwy, Cheltenham VIC 3192"
Glen Eira Sports and Aquatic Centre,-37.915723,145.060513,"200 E Boundary Rd, Bentleigh East VIC 3165"
Sandhurst Golf Club,-38.078698,145.210573,"75 Sandhurst Bvd, Sandhurst VIC 3977"
Commonwealth Golf Club,-37.928968,145.08309,"Glennie Ave, Oakleigh South VIC 3167"
Anytime Fitness,-38.141769,145.208349,"385 Cranbourne-Frankston Rd, Langwarrin VIC 3910"
Rossdale Golf Club,-38.028799,145.106354,"Sixth Ave, Aspendale VIC 3195"
Melbourne Golf Academy,-37.969294,145.104604,"385 Centre Dandenong Rd, Heatherton VIC 3202"
Sandown International Motor Raceway,-37.95163,145.163623,"659 Princes Hwy (at Racecourse Drive), Springvale VIC 3171"
Bikram Yoga Lynbrook,-38.039314,145.248082,"9 Raylee Pl, Lynbrook VIC 3975"
